1	α	alpha
2	Ἀαρών	Aaron
3	Ἀβαδδών	Abaddon
4	ἀβαρής	not burdensome
5	ἀββά	father
6	Ἅβελ	Abel
7	Ἀβιά	Abijah
8	Ἀβιαθάρ	Abiathar
9	Ἀβιληνή	Abilene
10	Ἀβιούδ	Abiud
11	Ἀβραάμ	Abraham
12	ἄβυσσος	Abyss
13	Ἅγαβος	Agabus
14	ἀγαθοεργέω	to do good
15	ἀγαθοεργός	one who does good
16	ἀγαθοποιέω	to do good
17	ἀγαθοποιία	doing good
18	ἀγαθοποιός	one who does good
19	ἀγαθός	good
20	ἀγαθωσύνη	goodness
21	ἀγαλλίασις	delight
22	ἀγαλλιάω	to be filled with delight
23	ἄγαμος	unmarried
24	ἀγανακτέω	to be indignant
25	ἀγανάκτησις	indignation
26	ἀγαπάω	to love
27	ἀγάπη	love
28	ἀγαπητός	dearly loved one
29	Ἁγάρ	Hagar
30	ἀγγαρεύω	to force
31	ἀγγεῖον	jar
32	ἀγγελία	message
33	ἀγγέλλω	to bring news
34	ἄγγελος	angel
35	ἄγγος	basket
36	ἀγέλη	herd
37	ἀγενεαλόγητος	without genealogy
38	ἀγενής	lowly
39	ἁγιάζω	to sanctify
40	ἁγιασμός	holiness
41	ἅγιος	holy
42	ἁγιότης	holiness
43	ἁγιωσύνη	holiness
44	ἀγκάλη	arm
45	ἄγκιστρον	fish-hook
46	ἄγκυρα	anchor
47	ἄγναφος	unshrunk
48	ἁγνεία	purity
49	ἁγνίζω	to purify
50	ἁγνισμός	purification
51	ἀγνοέω	to be ignorant
52	ἀγνόημα	sin committed in ignorance
53	ἄγνοια	ignorance
54	ἁγνός	pure
55	ἁγνότης	purity
56	ἁγνῶς	purely
57	ἀγνωσία	ignorance
58	ἄγνωστος	unknown
59	ἀγορά	marketplace
60	ἀγοράζω	to buy
61	ἀγοραῖος	marketplace
62	ἄγρα	catch
63	ἀγράμματος	unschooled
64	ἀγραυλέω	to live outdoors
65	ἀγρεύω	to catch
66	ἀγριέλαιος	wild olive tree
67	ἄγριος	wild
68	Ἀγρίππας	Agrippa
69	ἀγρός	field
70	ἀγρυπνέω	to keep awake
71	ἀγρυπνία	sleeplessness
72	ἄγω	to bring
73	ἀγωγή	way of life
74	ἀγών	struggle
75	ἀγωνία	anguish
76	ἀγωνίζομαι	to fight
77	Ἀδάμ	Adam
78	ἀδάπανος	free of charge
79	Ἀδδί	Addi
80	ἀδελφή	sister
81	ἀδελφός	brother
82	ἀδελφότης	brotherhood
83	ἄδηλος	not clear
84	ἀδηλότης	uncertainty
85	ἀδήλως	uncertainly
86	ἀδημονέω	to be troubled
87	ᾅδης	Hades
88	ἀδιάκριτος	impartial
89	ἀδιάλειπτος	constant
90	ἀδιαλείπτως	unceasingly
91	ἀδιαφθορία	sincerity
92	ἀδικέω	to do wrong
93	ἀδίκημα	crime
94	ἀδικία	wickedness
95	ἀδικοκρίτης	unjust judge
96	ἄδικος	unjust
97	ἀδίκως	unjustly
98	Ἀδμίν	Admin
99	ἀδόκιμος	failing the test
100	ἄδολος	pure
101	Ἀδραμυττηνός	of Adramyttium
102	Ἀδρίας	Adriatic Sea
103	ἁδρότης	liberal gift
104	ἀδυνατέω	to be impossible
105	ἀδύνατος	impossible
106	ᾄδω	to sing
107	ἀεί	always
108	ἀετός	eagle
109	ἄζυμος	unleavened
110	Ἀζώρ	Azor
111	Ἄζωτος	Azotus
112	ἀηδία	enmity
113	ἀήρ	air
114	ἀθανασία	immortality
115	ἀθάνατος	immortal
116	ἀθέμιτος	unlawful
117	ἄθεος	without God
