G1	Ἀλφα alpha
G2	Ἀαρών Aaron
G3	Ἀβαδδών Abaddon
G4	ἀβαρής not burdensome
G5	ἀββά Father
G6	Ἄβελ Abel
G7	Ἀβιά Abijah
G8	Ἀβιαθάρ Abiathar
G9	Ἀβιληνή Abilene
G10	Ἀβιούδ Abiud
G11	Ἀβραάμ Abraham
G12	ἄβυσσος abyss
G13	Ἄγαβος Agabus
G14	ἀγαθοεργέω to do good
G15	ἀγαθοποιέω to do good
G16	ἀγαθοποιΐα doing good
G17	ἀγαθοποιός doing good
G18	ἀγαθός good-doer
G19	ἀγαθωσύνη goodness
G20	ἀγαλλίασις joy
G21	ἀγαλλιάω to rejoice
G22	ἄγαμος unmarried
G23	ἀγανακτέω be indignant
G24	ἀγανάκτησις indignation
G25	ἀγαπάω to love
G26	ἀγάπη love
G27	ἀγαπητός beloved
G28	Ἄγαρ Hagar
G29	ἀγγαρεύω to force
G30	ἀγγεῖον jar
G31	ἀγγελία message
G32	ἄγγελος angel
G33	ἄγε to lead
G34	ἀγέλη herd
G35	ἀγενεαλόγητος without genealogy
G36	ἀγενής lowly
G37	ἁγιάζω to sanctify
G38	ἁγιασμός holiness
G39	ἅγιον holy
G40	ἅγιος holy
G41	ἁγιότης holiness
G42	ἁγιωσύνη holiness
G43	ἀγκάλη arm
G44	ἄγκιστρον fishhook
G45	ἄγκυρα anchor
G46	ἄγναφος unshrunk
G47	ἁγνεία purity
G48	ἁγνίζω to purify
G49	ἁγνισμός purification
G50	ἀγνοέω be ignorant
G51	ἀγνόημα error
G52	ἄγνοια ignorance
G53	ἁγνός pure
G54	ἁγνότης purity
G55	ἁγνῶς purely
G56	ἀγνωσία ignorance
G57	ἄγνωστος unknown
G58	ἀγορά marketplace
G59	ἀγοράζω to buy
G60	ἀγοραῖος of the marketplace
G61	ἄγρα catch
G62	ἀγράμματος unschooled
G63	ἀγραυλέω to live outside
G64	ἀγρεύω to catch
G65	ἀγριέλαιος wild olive tree
G66	ἄγριος wild
G67	Ἀγρίππας Agrippa
G68	ἀγρός field
G69	ἀγρυπνέω be watchful
G70	ἀγρυπνία sleeplessness
G71	ἄγω to bring
G72	ἀγωγή self-conduct
G73	ἀγών fight
G74	ἀγωνία a struggle
G75	ἀγωνίζομαι to struggle
G76	Ἀδάμ Adam
G77	ἀδάπανος free
G78	Ἀδδί Addi
G79	ἀδελφή sister
G80	ἀδελφός brother
G81	ἀδελφότης brotherhood
G82	ἄδηλος unclear
G83	ἀδηλότης uncertainty
G84	ἀδήλως uncertainly
G85	ἀδημονέω be distressed
G86	ᾍδης Hades
G87	ἀδιάκριτος impartial
G88	ἀδιάλειπτος continuous
G89	ἀδιαλείπτως unceasingly
G90	ἀδιαφθορία integrity
G91	ἀδικέω to harm
G92	ἀδίκημα crime
G93	ἀδικία unrighteousness
G94	ἄδικος unjust
G95	ἀδίκως unjustly
G96	ἀδόκιμος failing
G97	ἄδολος pure
G98	Ἀδραμυττηνός Adramyttene
G99	Ἀδρίας Adriatic Sea
G100	ἁδρότης abundance
G101	ἀδυνατέω not to be able
G102	ἀδύνατος unable
G103	ᾄδω to sing
G104	ἀεί always
G105	ἀετός eagle
G106	ἄζυμος unleavened
G107	Ἀζώρ Azor
G108	Ἄζωτος Azotus
G109	ἀήρ air
G110	ἀθανασία immortality
G111	ἀθέμιτος unlawful
G112	ἄθεος without God
G113	ἄθεσμος lawless
G114	ἀθετέω to reject
G115	ἀθέτησις nullification
G116	Ἀθῆναι Athens
G117	Ἀθηναῖος Athenian
G118	ἀθλέω to compete
G119	ἄθλησις struggle
G120	ἀθυμέω be discouraged
G121	ἀθῷος innocent
G122	αἴγειος goat's
G123	αἰγιαλός shore
G124	Αἰγύπτιος Egyptian
G125	Αἴγυπτος Egypt
G126	ἀΐδιος eternal
G127	αἰδώς modesty
G128	Αἰθίοψ Ethiopian
G129	αἷμα blood
G130	αἱματεκχυσία bloodshed
G131	αἱμορροέω to bleed
G132	Αἰνέας Aeneas
G133	αἴνεσις praise
G134	αἰνέω to praise
G135	αἴνιγμα obscure thing
G136	αἶνος praise
G137	Αἰνών Aenon
G138	αἱρέω to choose
G139	αἵρεσις sect
G140	αἱρετίζω to choose
G141	αἱρετικός schismatic
G142	αἴρω to take up
G143	αἰσθάνομαι to perceive
G144	αἴσθησις insight
G145	αἰσθητήριον sense
G146	αἰσχροκερδής greedy
G147	αἰσχροκερδῶς greedily
G148	αἰσχρολογία obscenity
G149	αἰσχρόν shameful
G150	αἰσχρός shameful
G151	αἰσχρότης obscenity
G152	αἰσχύνη shame
G153	αἰσχύνω be ashamed
G154	αἰτέω to ask
G155	αἴτημα request
G156	αἰτία cause/charge
G157	αἰτίαμα charge
G158	αἴτιον reason for charge
G159	αἴτιος causer
G160	αἰφνίδιος sudden
G161	αἰχμαλωσία captivity
G162	αἰχμαλωτεύω to take captive
G163	αἰχμαλωτίζω to capture
G164	αἰχμάλωτος captive
G165	αἰών an age
G166	αἰώνιος eternal
G167	ἀκαθαρσία impurity
G168	ἀκαθάρτης uncleanness
G169	ἀκάθαρτος unclean
G170	ἀκαιρέω to lack opportunity
G171	ἀκαίρως unseasonably
G172	ἄκακος innocent
G173	ἄκανθα a thorn
G174	ἀκάνθινος thorny
G175	ἄκαρπος unfruitful
G176	ἀκατάγνωστος beyond reproach
G177	ἀκατακάλυπτος uncovered
G178	ἀκατάκριτος uncondemned
G179	ἀκατάλυτος indestructible
G180	ἀκατάπαυστος unceasing
G181	ἀκαταστασία disorder
G182	ἀκατάστατος restless
G183	ἀκατάσχετος uncontrollable
G184	Ἀκελδαμά Akeldama
G185	ἀκέραιος innocent
G186	ἀκλινής unwavering
G187	ἀκμάζω to ripen
G188	ἀκμήν still
G189	ἀκοή hearing
G190	ἀκολουθέω to follow
G191	ἀκούω to hear
G192	ἀκρασία self-indulgence
G193	ἀκρατής intemperate
G194	ἄκρατος undiluted
G195	ἀκρίβεια strictness
G196	ἀκριβέστατος strictest
G197	ἀκριβέστερον stricter
G198	ἀκριβόω be exactly
G199	ἀκριβῶς exactly
G200	ἀκρίς locust
G201	ἀκροατήριον hall
G202	ἀκροατής hearer
G203	ἀκροβυστία uncircumcision
G204	ἀκρογωνιαῖος cornerstone
G205	ἀκροθίνιον fine spoils
G206	ἄκρον end
G207	Ἀκύλας Aquila
G208	ἀκυρόω to nullify
G209	ἀκωλύτως freely
G210	ἄκων unwilling
G211	ἀλάβαστρον jar
