1	ααρων	"gk": 2, "strongs": [ 2 ], "lemma": "Ἀαρών", "transliteration": "Aarōn", "frequencyCount": 5, "definition": "Aaron, pr. name, indecl., the brother of Moses (Exod. 4:14), Lk. 1:15; Acts 7:40; Heb. 5:4; 7:11; 9:4*"
2	αβαδδων	"gk": 3, "strongs": [ 3 ], "lemma": "Ἀβαδδών", "transliteration": "Abaddōn", "frequencyCount": 1, "definition": "Abaddon, pr. name, indecl., alternate spelling: Ἀββαδών, the angel who rules in hell, Rev. 9:11*"
3	αβαρης	"gk": 4, "strongs": [ 4 ], "lemma": "ἀβαρής", "transliteration": "abarēs", "frequencyCount": 1, "definition": "literally: weightless; figuratively: not burdensome, 2 Cor. 11:9*"
4	αββα	"gk": 5, "strongs": [ 5 ], "lemma": "ἀββά", "transliteration": "abba", "frequencyCount": 3, "definition": "father, Mk. 14:36; Rom. 8:15; Gal. 4:6* "
5	αβελ	"gk": 6, "strongs": [ 6 ], "lemma": "Ἅβελ", "transliteration": "Habel", "frequencyCount": 4, "definition": "Abel, pr. name, indecl., Mt. 23:35; Lk. 11:51; Heb. 11:4; 12:24"
6	αβια	"gk": 7, "strongs": [ 7 ], "lemma": "Ἀβιά", "transliteration": "Abia", "frequencyCount": 3, "definition": "Abiajah, pr. name, indecl. Hebrew is Abijah. (1) the son of Rehoboam (1 Chr. 3:10) Mt. 1:7; (2) the division of priests to which Zechariah belonged (1 Chr. 24:10) Lk. 1:5*"
7	αβιαθαρ	"gk": 8, "strongs": [ 8 ], "lemma": "Ἀβιαθάρ", "transliteration": "Abiathar", "frequencyCount": 1, "definition": "Abiathar, pr. name, indecl., Mk. 2:26*"
8	αβιληνη	"gk": 9, "strongs": [ 9 ], "lemma": "Ἀβιληνή", "transliteration": "Abilēnē", "frequencyCount": 1, "definition": "Abilene, a district of the Syrian Decapolis; from Abila, the chief town, Lk. 3:1*"
9	αβιουδ	"gk": 10, "strongs": [ 10 ], "lemma": "Ἀβιούδ", "transliteration": "Abioud", "frequencyCount": 2, "definition": "Abihud, pr. name, indecl."
10	αβρααμ	"gk": 11, "strongs": [ 11 ], "lemma": "Ἀβραάμ", "transliteration": "Abraam", "frequencyCount": 73, "definition": "Abraham, pr. name indecl."
11	αβυσσος	"gk": 12, "strongs": [ 12 ], "lemma": "ἄβυσσος", "transliteration": "abyssos", "frequencyCount": 9, "definition": "bottomless; place of the dead, Lk. 8:31; Rom. 10:7"
12	αγαβος	"gk": 13, "strongs": [ 13 ], "lemma": "Ἅγαβος", "transliteration": "Hagabos", "frequencyCount": 2, "definition": "Agabus, pr. name, Acts 11:28; 21:10*"
13	αγαθοεργεω	"gk": 14, "strongs": [ 14 ], "lemma": "ἀγαθοεργέω", "transliteration": "agathoergeō", "frequencyCount": 2, "definition": "to do good, confer benefits, Acts 14:17; 1 Tim. 6:18*"
14	αγαθοποιεω	"gk": 16, "strongs": [ 15 ], "lemma": "ἀγαθοποιέω", "transliteration": "agathopoieō", "frequencyCount": 9, "definition": "to do good, do well; to do what is morally correct (1 Pet. 2:15, 20)"
15	αγαθοποιια	"gk": 17, "strongs": [ 16 ], "lemma": "ἀγαθοποιία", "transliteration": "agathopoiia", "frequencyCount": 1, "definition": "well-doing, 1 Pet. 4:19*"
16	αγαθοποιος	"gk": 18, "strongs": [ 17 ], "lemma": "ἀγαθοποιός", "transliteration": "agathopoios", "frequencyCount": 1, "definition": "doing good or right; subst., a well-doer, 1 Pet. 2:14*"
17	αγαθος	"gk": 19, "strongs": [ 18 ], "lemma": "ἀγαθός", "transliteration": "agathos", "frequencyCount": 102, "definition": "good, profitable, generous, upright, virtuous "
18	αγαθωσυνη	"gk": 20, "strongs": [ 19 ], "lemma": "ἀγαθωσύνη", "transliteration": "agathōsynē", "frequencyCount": 4, "definition": "goodness, virtue, beneficence, Rom. 5:14; Eph. 5:9; 2 Thess. 1:11; generosity, Gal. 5:22*"
19	αγαλλιασις	"gk": 21, "strongs": [ 20 ], "lemma": "ἀγαλλίασις", "transliteration": "agalliasis", "frequencyCount": 5, "definition": "exultation, extreme joy"
20	αγαλλιαω	"gk": 22, "strongs": [ 21 ], "lemma": "ἀγαλλιάω", "transliteration": "agalliaō", "frequencyCount": 11, "definition": "to celebrate, praise; usually in the middle in the NT (ἀγαλλιάομαι) to exult, rejoice exceedingly; to desire ardently, Jn. 8:56 "
21	αγαμος	"gk": 23, "strongs": [ 22 ], "lemma": "ἄγαμος", "transliteration": "agamos", "frequencyCount": 4, "definition": "unmarried (woman or man) 1 Cor. 7:8, 11, 32, 34*"
22	αγανακτεω	"gk": 24, "strongs": [ 23 ], "lemma": "ἀγανακτέω", "transliteration": "aganakteō", "frequencyCount": 7, "definition": "to be pained; to be angry, vexed, indignant; to manifest indignation, Mk. 14:4; Lk. 13:14"
23	αγανακτησις	"gk": 25, "strongs": [ 24 ], "lemma": "ἀγανάκτησις", "transliteration": "aganaktēsis", "frequencyCount": 1, "definition": "indignation, 2 Cor. 7:11*"
