V-PAI-3P (V-PAP-DPM)	Verb, Present, Active, Indicative, third, Plural (Verb, Present, Active, Participle, Dative, Plural, Masculine)
A-VPF	Adjective, Vocative, Plural, Feminine
K-NSF	correlative pronoun, Nominative, Singular, Feminine
I-DPN	Interrogative pronoun, Dative, Plural, Neuter
I-NPF	Interrogative pronoun, Nominative, Plural, Feminine
F-3NSM	reFlexive pronoun, third, Nominative, Singular, Masculine
A-VPN	Adjective, Vocative, Plural, Neuter
A-VSN	Adjective, Vocative, Singular, Neuter
Q-GPF	correlative or interrogative pronoun, Genitive, Plural, Feminine
T-VPF	definite article, Vocative, Plural, Feminine
T-VPM	definite article, Vocative, Plural, Masculine
T-VPN	definite article, Vocative, Plural, Neuter
T-VSF	definite article, Vocative, Singular, Feminine
T-VSM	definite article, Vocative, Singular, Masculine
T-VSN	definite article, Vocative, Singular, Neuter
V-2PAN	Verb, second Present, Active, iNfinitive
V-2PAI-2S	Verb, second Present, Active, Indicative, second, Singular
HEB-T	HEBrew, Title
A-APF-NUI	Adjective, Accusative, Plural, Feminine, NUmerical Indiclinable (A)
A-APM-LG	Adjective, Accusative, Plural, Masculine, Location Gentilic
A-APM-NUI	Adjective, Accusative, Plural, Masculine, NUmerical Indiclinable (A)
A-APM-PG	Adjective, Accusative, Plural, Masculine, Person Gentilic
A-APN-NUI	Adjective, Accusative, Plural, Neuter, NUmerical Indiclinable (A)
A-ASF-L	Adjective, Accusative, Singular, Feminine, Location
A-ASF-LG	Adjective, Accusative, Singular, Feminine, Location Gentilic
A-ASF-PG	Adjective, Accusative, Singular, Feminine, Person Gentilic
A-ASM-LG	Adjective, Accusative, Singular, Masculine, Location Gentilic
A-ASM-PG	Adjective, Accusative, Singular, Masculine, Person Gentilic
A-ASN-LG	Adjective, Accusative, Singular, Neuter, Location Gentilic
A-DPF-NUI	Adjective, Dative, Plural, Feminine, NUmerical Indiclinable (A)
A-DPM-LG	Adjective, Dative, Plural, Masculine, Location Gentilic
A-DPM-NUI	Adjective, Dative, Plural, Masculine, NUmerical Indiclinable (A)
A-DPM-PG	Adjective, Dative, Plural, Masculine, Person Gentilic
A-DPN-LG	Adjective, Dative, Plural, Neuter, Location Gentilic
A-DPN-NUI	Adjective, Dative, Plural, Neuter, NUmerical Indiclinable (A)
A-DSF-L	Adjective, Dative, Singular, Feminine, Location
A-DSF-LG	Adjective, Dative, Singular, Feminine, Location Gentilic
A-DSF-PG	Adjective, Dative, Singular, Feminine, Person Gentilic
A-DSM-PG	Adjective, Dative, Singular, Masculine, Person Gentilic
A-DSN-LG	Adjective, Dative, Singular, Neuter, Location Gentilic
A-GPF-L	Adjective, Genitive, Plural, Feminine, Location
A-GPF-NUI	Adjective, Genitive, Plural, Feminine, NUmerical Indiclinable (A)
