OGNTsort	KJVversification	OGNTversification
000001	40.1.1	40.1.1
000002	40.1.1	40.1.1
000003	40.1.1	40.1.1
000004	40.1.1	40.1.1
000005	40.1.1	40.1.1
000006	40.1.1	40.1.1
000007	40.1.1	40.1.1
000008	40.1.1	40.1.1
000009	40.1.2	40.1.2
000010	40.1.2	40.1.2
000011	40.1.2	40.1.2
000012	40.1.2	40.1.2
000013	40.1.2	40.1.2
000014	40.1.2	40.1.2
000015	40.1.2	40.1.2
000016	40.1.2	40.1.2
000017	40.1.2	40.1.2
000018	40.1.2	40.1.2
000019	40.1.2	40.1.2
000020	40.1.2	40.1.2
000021	40.1.2	40.1.2
000022	40.1.2	40.1.2
000023	40.1.2	40.1.2
000024	40.1.2	40.1.2
000025	40.1.2	40.1.2
000026	40.1.2	40.1.2
000027	40.1.3	40.1.3
000028	40.1.3	40.1.3
000029	40.1.3	40.1.3
000030	40.1.3	40.1.3
000031	40.1.3	40.1.3
000032	40.1.3	40.1.3
000033	40.1.3	40.1.3
000034	40.1.3	40.1.3
000035	40.1.3	40.1.3
000036	40.1.3	40.1.3
000037	40.1.3	40.1.3
000038	40.1.3	40.1.3
000039	40.1.3	40.1.3
000040	40.1.3	40.1.3
000041	40.1.3	40.1.3
000042	40.1.3	40.1.3
000043	40.1.3	40.1.3
000044	40.1.3	40.1.3
000045	40.1.3	40.1.3
000046	40.1.3	40.1.3
000047	40.1.3	40.1.3
000048	40.1.4	40.1.4
000049	40.1.4	40.1.4
000050	40.1.4	40.1.4
000051	40.1.4	40.1.4
000052	40.1.4	40.1.4
000053	40.1.4	40.1.4
000054	40.1.4	40.1.4
000055	40.1.4	40.1.4
000056	40.1.4	40.1.4
000057	40.1.4	40.1.4
000058	40.1.4	40.1.4
000059	40.1.4	40.1.4
000060	40.1.4	40.1.4
000061	40.1.4	40.1.4
000062	40.1.4	40.1.4
000063	40.1.5	40.1.5
000064	40.1.5	40.1.5
000065	40.1.5	40.1.5
000066	40.1.5	40.1.5
000067	40.1.5	40.1.5
000068	40.1.5	40.1.5
000069	40.1.5	40.1.5
000070	40.1.5	40.1.5
000071	40.1.5	40.1.5
000072	40.1.5	40.1.5
000073	40.1.5	40.1.5
000074	40.1.5	40.1.5
000075	40.1.5	40.1.5
000076	40.1.5	40.1.5
000077	40.1.5	40.1.5
000078	40.1.5	40.1.5
000079	40.1.5	40.1.5
000080	40.1.5	40.1.5
000081	40.1.5	40.1.5
000082	40.1.5	40.1.5
000083	40.1.5	40.1.5
000084	40.1.6	40.1.6
000085	40.1.6	40.1.6
000086	40.1.6	40.1.6
000087	40.1.6	40.1.6
000088	40.1.6	40.1.6
000089	40.1.6	40.1.6
000090	40.1.6	40.1.6
000091	40.1.6	40.1.6
000092	40.1.6	40.1.6
000093	40.1.6	40.1.6
000094	40.1.6	40.1.6
000095	40.1.6	40.1.6
000096	40.1.6	40.1.6
000097	40.1.6	40.1.6
000098	40.1.6	40.1.6
000099	40.1.6	40.1.6
000100	40.1.7	40.1.7
000101	40.1.7	40.1.7
000102	40.1.7	40.1.7
000103	40.1.7	40.1.7
000104	40.1.7	40.1.7
000105	40.1.7	40.1.7
000106	40.1.7	40.1.7
000107	40.1.7	40.1.7
000108	40.1.7	40.1.7
000109	40.1.7	40.1.7
000110	40.1.7	40.1.7
000111	40.1.7	40.1.7
000112	40.1.7	40.1.7
000113	40.1.7	40.1.7
000114	40.1.7	40.1.7
000115	40.1.8	40.1.8
000116	40.1.8	40.1.8
000117	40.1.8	40.1.8
000118	40.1.8	40.1.8
000119	40.1.8	40.1.8
000120	40.1.8	40.1.8
000121	40.1.8	40.1.8
000122	40.1.8	40.1.8
000123	40.1.8	40.1.8
000124	40.1.8	40.1.8
000125	40.1.8	40.1.8
000126	40.1.8	40.1.8
000127	40.1.8	40.1.8
000128	40.1.8	40.1.8
000129	40.1.8	40.1.8
000130	40.1.9	40.1.9
000131	40.1.9	40.1.9
000132	40.1.9	40.1.9
000133	40.1.9	40.1.9
000134	40.1.9	40.1.9
000135	40.1.9	40.1.9
000136	40.1.9	40.1.9
000137	40.1.9	40.1.9
000138	40.1.9	40.1.9
000139	40.1.9	40.1.9
000140	40.1.9	40.1.9
000141	40.1.9	40.1.9
000142	40.1.9	40.1.9
000143	40.1.9	40.1.9
000144	40.1.9	40.1.9
000145	40.1.10	40.1.10
000146	40.1.10	40.1.10
000147	40.1.10	40.1.10
000148	40.1.10	40.1.10
000149	40.1.10	40.1.10
000150	40.1.10	40.1.10
000151	40.1.10	40.1.10
000152	40.1.10	40.1.10
000153	40.1.10	40.1.10
000154	40.1.10	40.1.10
000155	40.1.10	40.1.10
000156	40.1.10	40.1.10
000157	40.1.10	40.1.10
000158	40.1.10	40.1.10
000159	40.1.10	40.1.10
000160	40.1.11	40.1.11
000161	40.1.11	40.1.11
000162	40.1.11	40.1.11
000163	40.1.11	40.1.11
000164	40.1.11	40.1.11
000165	40.1.11	40.1.11
000166	40.1.11	40.1.11
000167	40.1.11	40.1.11
000168	40.1.11	40.1.11
000169	40.1.11	40.1.11
000170	40.1.11	40.1.11
000171	40.1.11	40.1.11
000172	40.1.11	40.1.11
000173	40.1.12	40.1.12
000174	40.1.12	40.1.12
000175	40.1.12	40.1.12
000176	40.1.12	40.1.12
000177	40.1.12	40.1.12
000178	40.1.12	40.1.12
000179	40.1.12	40.1.12
000180	40.1.12	40.1.12
000181	40.1.12	40.1.12
000182	40.1.12	40.1.12
000183	40.1.12	40.1.12
000184	40.1.12	40.1.12
000185	40.1.12	40.1.12
000186	40.1.12	40.1.12
000187	40.1.13	40.1.13
000188	40.1.13	40.1.13
000189	40.1.13	40.1.13
000190	40.1.13	40.1.13
000191	40.1.13	40.1.13
000192	40.1.13	40.1.13
000193	40.1.13	40.1.13
000194	40.1.13	40.1.13
000195	40.1.13	40.1.13
000196	40.1.13	40.1.13
000197	40.1.13	40.1.13
000198	40.1.13	40.1.13
000199	40.1.13	40.1.13
000200	40.1.13	40.1.13
000201	40.1.13	40.1.13
000202	40.1.14	40.1.14
000203	40.1.14	40.1.14
000204	40.1.14	40.1.14
000205	40.1.14	40.1.14
000206	40.1.14	40.1.14
000207	40.1.14	40.1.14
000208	40.1.14	40.1.14
000209	40.1.14	40.1.14
000210	40.1.14	40.1.14
000211	40.1.14	40.1.14
000212	40.1.14	40.1.14
000213	40.1.14	40.1.14
000214	40.1.14	40.1.14
000215	40.1.14	40.1.14
000216	40.1.14	40.1.14
000217	40.1.15	40.1.15
000218	40.1.15	40.1.15
000219	40.1.15	40.1.15
000220	40.1.15	40.1.15
000221	40.1.15	40.1.15
000222	40.1.15	40.1.15
000223	40.1.15	40.1.15
000224	40.1.15	40.1.15
000225	40.1.15	40.1.15
000226	40.1.15	40.1.15
000227	40.1.15	40.1.15
000228	40.1.15	40.1.15
000229	40.1.15	40.1.15
000230	40.1.15	40.1.15
000231	40.1.15	40.1.15
000232	40.1.16	40.1.16
000233	40.1.16	40.1.16
000234	40.1.16	40.1.16
000235	40.1.16	40.1.16
000236	40.1.16	40.1.16
000237	40.1.16	40.1.16
000238	40.1.16	40.1.16
000239	40.1.16	40.1.16
000240	40.1.16	40.1.16
000241	40.1.16	40.1.16
000242	40.1.16	40.1.16
000243	40.1.16	40.1.16
000244	40.1.16	40.1.16
000245	40.1.16	40.1.16
000246	40.1.16	40.1.16
000247	40.1.17	40.1.17
000248	40.1.17	40.1.17
000249	40.1.17	40.1.17
000250	40.1.17	40.1.17
000251	40.1.17	40.1.17
000252	40.1.17	40.1.17
000253	40.1.17	40.1.17
000254	40.1.17	40.1.17
000255	40.1.17	40.1.17
000256	40.1.17	40.1.17
000257	40.1.17	40.1.17
000258	40.1.17	40.1.17
000259	40.1.17	40.1.17
000260	40.1.17	40.1.17
000261	40.1.17	40.1.17
000262	40.1.17	40.1.17
000263	40.1.17	40.1.17
000264	40.1.17	40.1.17
000265	40.1.17	40.1.17
000266	40.1.17	40.1.17
000267	40.1.17	40.1.17
000268	40.1.17	40.1.17
000269	40.1.17	40.1.17
000270	40.1.17	40.1.17
000271	40.1.17	40.1.17
000272	40.1.17	40.1.17
000273	40.1.17	40.1.17
000274	40.1.17	40.1.17
000275	40.1.17	40.1.17
000276	40.1.18	40.1.18
000277	40.1.18	40.1.18
000278	40.1.18	40.1.18
000279	40.1.18	40.1.18
000280	40.1.18	40.1.18
000281	40.1.18	40.1.18
000282	40.1.18	40.1.18
000283	40.1.18	40.1.18
000284	40.1.18	40.1.18
000285	40.1.18	40.1.18
000286	40.1.18	40.1.18
000287	40.1.18	40.1.18
000288	40.1.18	40.1.18
000289	40.1.18	40.1.18
000290	40.1.18	40.1.18
000291	40.1.18	40.1.18
000292	40.1.18	40.1.18
000293	40.1.18	40.1.18
000294	40.1.18	40.1.18
000295	40.1.18	40.1.18
000296	40.1.18	40.1.18
000297	40.1.18	40.1.18
000298	40.1.18	40.1.18
000299	40.1.18	40.1.18
000300	40.1.18	40.1.18
000301	40.1.18	40.1.18
000302	40.1.19	40.1.19
000303	40.1.19	40.1.19
000304	40.1.19	40.1.19
000305	40.1.19	40.1.19
000306	40.1.19	40.1.19
000307	40.1.19	40.1.19
000308	40.1.19	40.1.19
000309	40.1.19	40.1.19
000310	40.1.19	40.1.19
000311	40.1.19	40.1.19
000312	40.1.19	40.1.19
000313	40.1.19	40.1.19
000314	40.1.19	40.1.19
000315	40.1.19	40.1.19
000316	40.1.19	40.1.19
000317	40.1.19	40.1.19
000318	40.1.20	40.1.20
000319	40.1.20	40.1.20
000320	40.1.20	40.1.20
