G1	<h2><ref onclick="lex('G1')"><grk>Ἀλφα</grk></ref> <hlb>alpha</hlb></h2>
G2	<h2><ref onclick="lex('G2')"><grk>Ἀαρών</grk></ref> <hlb>Aaron</hlb></h2>
G3	<h2><ref onclick="lex('G3')"><grk>Ἀβαδδών</grk></ref> <hlb>Abaddon</hlb></h2>
G4	<h2><ref onclick="lex('G4')"><grk>ἀβαρής</grk></ref> <hlb>not burdensome</hlb></h2>
G5	<h2><ref onclick="lex('G5')"><grk>ἀββά</grk></ref> <hlb>Father</hlb></h2>
G6	<h2><ref onclick="lex('G6')"><grk>Ἄβελ</grk></ref> <hlb>Abel</hlb></h2>
G7	<h2><ref onclick="lex('G7')"><grk>Ἀβιά</grk></ref> <hlb>Abijah</hlb></h2>
G8	<h2><ref onclick="lex('G8')"><grk>Ἀβιαθάρ</grk></ref> <hlb>Abiathar</hlb></h2>
G9	<h2><ref onclick="lex('G9')"><grk>Ἀβιληνή</grk></ref> <hlb>Abilene</hlb></h2>
G10	<h2><ref onclick="lex('G10')"><grk>Ἀβιούδ</grk></ref> <hlb>Abiud</hlb></h2>
G11	<h2><ref onclick="lex('G11')"><grk>Ἀβραάμ</grk></ref> <hlb>Abraham</hlb></h2>
G12	<h2><ref onclick="lex('G12')"><grk>ἄβυσσος</grk></ref> <hlb>abyss</hlb></h2>
G13	<h2><ref onclick="lex('G13')"><grk>Ἄγαβος</grk></ref> <hlb>Agabus</hlb></h2>
G14	<h2><ref onclick="lex('G14')"><grk>ἀγαθοεργέω</grk></ref> <hlb>to do good</hlb></h2>
G15	<h2><ref onclick="lex('G15')"><grk>ἀγαθοποιέω</grk></ref> <hlb>to do good</hlb></h2>
G16	<h2><ref onclick="lex('G16')"><grk>ἀγαθοποιΐα</grk></ref> <hlb>doing good</hlb></h2>
G17	<h2><ref onclick="lex('G17')"><grk>ἀγαθοποιός</grk></ref> <hlb>doing good</hlb></h2>
G18	<h2><ref onclick="lex('G18')"><grk>ἀγαθός</grk></ref> <hlb>good-doer</hlb></h2>
G19	<h2><ref onclick="lex('G19')"><grk>ἀγαθωσύνη</grk></ref> <hlb>goodness</hlb></h2>
G20	<h2><ref onclick="lex('G20')"><grk>ἀγαλλίασις</grk></ref> <hlb>joy</hlb></h2>
G21	<h2><ref onclick="lex('G21')"><grk>ἀγαλλιάω</grk></ref> <hlb>to rejoice</hlb></h2>
G22	<h2><ref onclick="lex('G22')"><grk>ἄγαμος</grk></ref> <hlb>unmarried</hlb></h2>
G23	<h2><ref onclick="lex('G23')"><grk>ἀγανακτέω</grk></ref> <hlb>be indignant</hlb></h2>
G24	<h2><ref onclick="lex('G24')"><grk>ἀγανάκτησις</grk></ref> <hlb>indignation</hlb></h2>
G25	<h2><ref onclick="lex('G25')"><grk>ἀγαπάω</grk></ref> <hlb>to love</hlb></h2>
G26	<h2><ref onclick="lex('G26')"><grk>ἀγάπη</grk></ref> <hlb>love</hlb></h2>
G27	<h2><ref onclick="lex('G27')"><grk>ἀγαπητός</grk></ref> <hlb>beloved</hlb></h2>
G28	<h2><ref onclick="lex('G28')"><grk>Ἄγαρ</grk></ref> <hlb>Hagar</hlb></h2>
G29	<h2><ref onclick="lex('G29')"><grk>ἀγγαρεύω</grk></ref> <hlb>to force</hlb></h2>
G30	<h2><ref onclick="lex('G30')"><grk>ἀγγεῖον</grk></ref> <hlb>jar</hlb></h2>
G31	<h2><ref onclick="lex('G31')"><grk>ἀγγελία</grk></ref> <hlb>message</hlb></h2>
G32	<h2><ref onclick="lex('G32')"><grk>ἄγγελος</grk></ref> <hlb>angel</hlb></h2>
G33	<h2><ref onclick="lex('G33')"><grk>ἄγε</grk></ref> <hlb>to lead</hlb></h2>
G34	<h2><ref onclick="lex('G34')"><grk>ἀγέλη</grk></ref> <hlb>herd</hlb></h2>
G35	<h2><ref onclick="lex('G35')"><grk>ἀγενεαλόγητος</grk></ref> <hlb>without genealogy</hlb></h2>
G36	<h2><ref onclick="lex('G36')"><grk>ἀγενής</grk></ref> <hlb>lowly</hlb></h2>
G37	<h2><ref onclick="lex('G37')"><grk>ἁγιάζω</grk></ref> <hlb>to sanctify</hlb></h2>
G38	<h2><ref onclick="lex('G38')"><grk>ἁγιασμός</grk></ref> <hlb>holiness</hlb></h2>
G39	<h2><ref onclick="lex('G39')"><grk>ἅγιον</grk></ref> <hlb>holy</hlb></h2>
G40	<h2><ref onclick="lex('G40')"><grk>ἅγιος</grk></ref> <hlb>holy</hlb></h2>
G41	<h2><ref onclick="lex('G41')"><grk>ἁγιότης</grk></ref> <hlb>holiness</hlb></h2>
G42	<h2><ref onclick="lex('G42')"><grk>ἁγιωσύνη</grk></ref> <hlb>holiness</hlb></h2>
G43	<h2><ref onclick="lex('G43')"><grk>ἀγκάλη</grk></ref> <hlb>arm</hlb></h2>
G44	<h2><ref onclick="lex('G44')"><grk>ἄγκιστρον</grk></ref> <hlb>fishhook</hlb></h2>
G45	<h2><ref onclick="lex('G45')"><grk>ἄγκυρα</grk></ref> <hlb>anchor</hlb></h2>
G46	<h2><ref onclick="lex('G46')"><grk>ἄγναφος</grk></ref> <hlb>unshrunk</hlb></h2>
G47	<h2><ref onclick="lex('G47')"><grk>ἁγνεία</grk></ref> <hlb>purity</hlb></h2>
G48	<h2><ref onclick="lex('G48')"><grk>ἁγνίζω</grk></ref> <hlb>to purify</hlb></h2>
G49	<h2><ref onclick="lex('G49')"><grk>ἁγνισμός</grk></ref> <hlb>purification</hlb></h2>
G50	<h2><ref onclick="lex('G50')"><grk>ἀγνοέω</grk></ref> <hlb>be ignorant</hlb></h2>
G51	<h2><ref onclick="lex('G51')"><grk>ἀγνόημα</grk></ref> <hlb>error</hlb></h2>
G52	<h2><ref onclick="lex('G52')"><grk>ἄγνοια</grk></ref> <hlb>ignorance</hlb></h2>
G53	<h2><ref onclick="lex('G53')"><grk>ἁγνός</grk></ref> <hlb>pure</hlb></h2>
G54	<h2><ref onclick="lex('G54')"><grk>ἁγνότης</grk></ref> <hlb>purity</hlb></h2>
G55	<h2><ref onclick="lex('G55')"><grk>ἁγνῶς</grk></ref> <hlb>purely</hlb></h2>
G56	<h2><ref onclick="lex('G56')"><grk>ἀγνωσία</grk></ref> <hlb>ignorance</hlb></h2>
G57	<h2><ref onclick="lex('G57')"><grk>ἄγνωστος</grk></ref> <hlb>unknown</hlb></h2>
G58	<h2><ref onclick="lex('G58')"><grk>ἀγορά</grk></ref> <hlb>marketplace</hlb></h2>
G59	<h2><ref onclick="lex('G59')"><grk>ἀγοράζω</grk></ref> <hlb>to buy</hlb></h2>
G60	<h2><ref onclick="lex('G60')"><grk>ἀγοραῖος</grk></ref> <hlb>of the marketplace</hlb></h2>
G61	<h2><ref onclick="lex('G61')"><grk>ἄγρα</grk></ref> <hlb>catch</hlb></h2>
G62	<h2><ref onclick="lex('G62')"><grk>ἀγράμματος</grk></ref> <hlb>unschooled</hlb></h2>
G63	<h2><ref onclick="lex('G63')"><grk>ἀγραυλέω</grk></ref> <hlb>to live outside</hlb></h2>
G64	<h2><ref onclick="lex('G64')"><grk>ἀγρεύω</grk></ref> <hlb>to catch</hlb></h2>
G65	<h2><ref onclick="lex('G65')"><grk>ἀγριέλαιος</grk></ref> <hlb>wild olive tree</hlb></h2>
G66	<h2><ref onclick="lex('G66')"><grk>ἄγριος</grk></ref> <hlb>wild</hlb></h2>
G67	<h2><ref onclick="lex('G67')"><grk>Ἀγρίππας</grk></ref> <hlb>Agrippa</hlb></h2>
G68	<h2><ref onclick="lex('G68')"><grk>ἀγρός</grk></ref> <hlb>field</hlb></h2>
G69	<h2><ref onclick="lex('G69')"><grk>ἀγρυπνέω</grk></ref> <hlb>be watchful</hlb></h2>
G70	<h2><ref onclick="lex('G70')"><grk>ἀγρυπνία</grk></ref> <hlb>sleeplessness</hlb></h2>
G71	<h2><ref onclick="lex('G71')"><grk>ἄγω</grk></ref> <hlb>to bring</hlb></h2>
G72	<h2><ref onclick="lex('G72')"><grk>ἀγωγή</grk></ref> <hlb>self-conduct</hlb></h2>
G73	<h2><ref onclick="lex('G73')"><grk>ἀγών</grk></ref> <hlb>fight</hlb></h2>
G74	<h2><ref onclick="lex('G74')"><grk>ἀγωνία</grk></ref> <hlb>a struggle</hlb></h2>
G75	<h2><ref onclick="lex('G75')"><grk>ἀγωνίζομαι</grk></ref> <hlb>to struggle</hlb></h2>
G76	<h2><ref onclick="lex('G76')"><grk>Ἀδάμ</grk></ref> <hlb>Adam</hlb></h2>
G77	<h2><ref onclick="lex('G77')"><grk>ἀδάπανος</grk></ref> <hlb>free</hlb></h2>
G78	<h2><ref onclick="lex('G78')"><grk>Ἀδδί</grk></ref> <hlb>Addi</hlb></h2>
G79	<h2><ref onclick="lex('G79')"><grk>ἀδελφή</grk></ref> <hlb>sister</hlb></h2>
G80	<h2><ref onclick="lex('G80')"><grk>ἀδελφός</grk></ref> <hlb>brother</hlb></h2>
G81	<h2><ref onclick="lex('G81')"><grk>ἀδελφότης</grk></ref> <hlb>brotherhood</hlb></h2>
G82	<h2><ref onclick="lex('G82')"><grk>ἄδηλος</grk></ref> <hlb>unclear</hlb></h2>
G83	<h2><ref onclick="lex('G83')"><grk>ἀδηλότης</grk></ref> <hlb>uncertainty</hlb></h2>
G84	<h2><ref onclick="lex('G84')"><grk>ἀδήλως</grk></ref> <hlb>uncertainly</hlb></h2>
G85	<h2><ref onclick="lex('G85')"><grk>ἀδημονέω</grk></ref> <hlb>be distressed</hlb></h2>
G86	<h2><ref onclick="lex('G86')"><grk>ᾍδης</grk></ref> <hlb>Hades</hlb></h2>
G87	<h2><ref onclick="lex('G87')"><grk>ἀδιάκριτος</grk></ref> <hlb>impartial</hlb></h2>
G88	<h2><ref onclick="lex('G88')"><grk>ἀδιάλειπτος</grk></ref> <hlb>continuous</hlb></h2>
G89	<h2><ref onclick="lex('G89')"><grk>ἀδιαλείπτως</grk></ref> <hlb>unceasingly</hlb></h2>
G90	<h2><ref onclick="lex('G90')"><grk>ἀδιαφθορία</grk></ref> <hlb>integrity</hlb></h2>
G91	<h2><ref onclick="lex('G91')"><grk>ἀδικέω</grk></ref> <hlb>to harm</hlb></h2>
G92	<h2><ref onclick="lex('G92')"><grk>ἀδίκημα</grk></ref> <hlb>crime</hlb></h2>
G93	<h2><ref onclick="lex('G93')"><grk>ἀδικία</grk></ref> <hlb>unrighteousness</hlb></h2>
G94	<h2><ref onclick="lex('G94')"><grk>ἄδικος</grk></ref> <hlb>unjust</hlb></h2>
G95	<h2><ref onclick="lex('G95')"><grk>ἀδίκως</grk></ref> <hlb>unjustly</hlb></h2>
G96	<h2><ref onclick="lex('G96')"><grk>ἀδόκιμος</grk></ref> <hlb>failing</hlb></h2>
G97	<h2><ref onclick="lex('G97')"><grk>ἄδολος</grk></ref> <hlb>pure</hlb></h2>
G98	<h2><ref onclick="lex('G98')"><grk>Ἀδραμυττηνός</grk></ref> <hlb>Adramyttene</hlb></h2>
G99	<h2><ref onclick="lex('G99')"><grk>Ἀδρίας</grk></ref> <hlb>Adriatic Sea</hlb></h2>
G100	<h2><ref onclick="lex('G100')"><grk>ἁδρότης</grk></ref> <hlb>abundance</hlb></h2>
G101	<h2><ref onclick="lex('G101')"><grk>ἀδυνατέω</grk></ref> <hlb>not to be able</hlb></h2>
G102	<h2><ref onclick="lex('G102')"><grk>ἀδύνατος</grk></ref> <hlb>unable</hlb></h2>
G103	<h2><ref onclick="lex('G103')"><grk>ᾄδω</grk></ref> <hlb>to sing</hlb></h2>
G104	<h2><ref onclick="lex('G104')"><grk>ἀεί</grk></ref> <hlb>always</hlb></h2>
G105	<h2><ref onclick="lex('G105')"><grk>ἀετός</grk></ref> <hlb>eagle</hlb></h2>
G106	<h2><ref onclick="lex('G106')"><grk>ἄζυμος</grk></ref> <hlb>unleavened</hlb></h2>
G107	<h2><ref onclick="lex('G107')"><grk>Ἀζώρ</grk></ref> <hlb>Azor</hlb></h2>
G108	<h2><ref onclick="lex('G108')"><grk>Ἄζωτος</grk></ref> <hlb>Azotus</hlb></h2>
G109	<h2><ref onclick="lex('G109')"><grk>ἀήρ</grk></ref> <hlb>air</hlb></h2>
G110	<h2><ref onclick="lex('G110')"><grk>ἀθανασία</grk></ref> <hlb>immortality</hlb></h2>
G111	<h2><ref onclick="lex('G111')"><grk>ἀθέμιτος</grk></ref> <hlb>unlawful</hlb></h2>
G112	<h2><ref onclick="lex('G112')"><grk>ἄθεος</grk></ref> <hlb>without God</hlb></h2>
G113	<h2><ref onclick="lex('G113')"><grk>ἄθεσμος</grk></ref> <hlb>lawless</hlb></h2>
G114	<h2><ref onclick="lex('G114')"><grk>ἀθετέω</grk></ref> <hlb>to reject</hlb></h2>
G115	<h2><ref onclick="lex('G115')"><grk>ἀθέτησις</grk></ref> <hlb>nullification</hlb></h2>
G116	<h2><ref onclick="lex('G116')"><grk>Ἀθῆναι</grk></ref> <hlb>Athens</hlb></h2>
