RMAC	中文解釋
A-APF	形容詞，直接受詞，複數，陰性
A-APF-C	形容詞，直接受詞，複數，陰性，比較級
A-APF-NUI	形容詞，直接受詞，複數，陰性，無變格數字（形容詞）
A-APF-S	形容詞，直接受詞，複數，陰性，最上級
A-APM	形容詞，直接受詞，複數，陽性
A-APM-C	形容詞，直接受詞，複數，陽性，比較級
A-APM-LG	形容詞，直接受詞，複數，陽性，非猶太地名
A-APM-NUI	形容詞，直接受詞，複數，陽性，無變格數字（形容詞）
A-APM-PG	形容詞，直接受詞，複數，陽性，非猶太人名
A-APM-S	形容詞，直接受詞，複數，陽性，最上級
A-APN	形容詞，直接受詞，複數，中性
A-APN-C	形容詞，直接受詞，複數，中性，比較級
A-APN-NUI	形容詞，直接受詞，複數，中性，無變格數字（形容詞）
A-APN-S	形容詞，直接受詞，複數，中性，最上級
A-ASF	形容詞，直接受詞，單數，陰性
A-ASF-C	形容詞，直接受詞，單數，陰性，比較級
A-ASF-L	形容詞，直接受詞，單數，陰性，地名
A-ASF-LG	形容詞，直接受詞，單數，陰性，非猶太地名
A-ASF-N	形容詞，直接受詞，單數，陰性，否定詞
A-ASF-PG	形容詞，直接受詞，單數，陰性，非猶太人名
A-ASF-S	形容詞，直接受詞，單數，陰性，最上級
A-ASM	形容詞，直接受詞，單數，陽性
A-ASM-C	形容詞，直接受詞，單數，陽性，比較級
A-ASM-LG	形容詞，直接受詞，單數，陽性，非猶太地名
A-ASM-N	形容詞，直接受詞，單數，陽性，否定詞
A-ASM-PG	形容詞，直接受詞，單數，陽性，非猶太人名
A-ASM-S	形容詞，直接受詞，單數，陽性，最上級
A-ASN	形容詞，直接受詞，單數，中性
A-ASN-C	形容詞，直接受詞，單數，中性，比較級
A-ASN-LG	形容詞，直接受詞，單數，中性，非猶太地名
A-ASN-N	形容詞，直接受詞，單數，中性，否定詞
A-ASN-S	形容詞，直接受詞，單數，中性，最上級
A-DPF	形容詞，間接受格，複數，陰性
A-DPF-C	形容詞，間接受格，複數，陰性，比較級
A-DPF-NUI	形容詞，間接受格，複數，陰性，無變格數字（形容詞）
A-DPF-S	形容詞，間接受格，複數，陰性，最上級
A-DPM	形容詞，間接受格，複數，陽性
A-DPM-C	形容詞，間接受格，複數，陽性，比較級
A-DPM-LG	形容詞，間接受格，複數，陽性，非猶太地名
A-DPM-NUI	形容詞，間接受格，複數，陽性，無變格數字（形容詞）
