RMAC	Description
A-APF	Adjetivo, Acusativo, Plural, Femenino
A-APF-C	Adjetivo, Acusativo, Plural, Femenino, Comparativo
A-APF-NUI	Adjetivo, Acusativo, Plural, Femenino, NUmérico Indeclinable (Adjetivo)
A-APF-S	Adjetivo, Acusativo, Plural, Femenino, Superlativo
A-APM	Adjetivo, Acusativo, Plural, Masculino
A-APM-C	Adjetivo, Acusativo, Plural, Masculino, Comparativo
A-APM-LG	Adjetivo, Acusativo, Plural, Masculino, (LG) Gentilicio de Localización
A-APM-NUI	Adjetivo, Acusativo, Plural, Masculino, NUmérico Indeclinable (Adjetivo)
A-APM-PG	Adjetivo, Acusativo, Plural, Masculino, (PG) Gentilicio de Persona
A-APM-S	Adjetivo, Acusativo, Plural, Masculino, Superlativo
A-APN	Adjetivo, Acusativo, Plural, Neutro
A-APN-C	Adjetivo, Acusativo, Plural, Neutro, Comparativo
A-APN-NUI	Adjetivo, Acusativo, Plural, Neutro, NUmérico Indeclinable (Adjetivo)
A-APN-S	Adjetivo, Acusativo, Plural, Neutro, Superlativo
A-ASF	Adjetivo, Acusativo, Singular, Femenino
A-ASF-C	Adjetivo, Acusativo, Singular, Femenino, Comparativo
A-ASF-L	Adjetivo, Acusativo, Singular, Femenino, Localización
A-ASF-LG	Adjetivo, Acusativo, Singular, Femenino, (LG) Gentilicio de Localización
A-ASF-N	Adjetivo, Acusativo, Singular, Femenino, Negativo
A-ASF-PG	Adjetivo, Acusativo, Singular, Femenino, (PG) Gentilicio de Persona
A-ASF-S	Adjetivo, Acusativo, Singular, Femenino, Superlativo
A-ASM	Adjetivo, Acusativo, Singular, Masculino
A-ASM-C	Adjetivo, Acusativo, Singular, Masculino, Comparativo
A-ASM-LG	Adjetivo, Acusativo, Singular, Masculino, (LG) Gentilicio de Localización
A-ASM-N	Adjetivo, Acusativo, Singular, Masculino, Negativo
A-ASM-PG	Adjetivo, Acusativo, Singular, Masculino, (PG) Gentilicio de Persona
A-ASM-S	Adjetivo, Acusativo, Singular, Masculino, Superlativo
A-ASN	Adjetivo, Acusativo, Singular, Neutro
A-ASN-C	Adjetivo, Acusativo, Singular, Neutro, Comparativo
A-ASN-LG	Adjetivo, Acusativo, Singular, Neutro, (LG) Gentilicio de Localización
A-ASN-N	Adjetivo, Acusativo, Singular, Neutro, Negativo
A-ASN-S	Adjetivo, Acusativo, Singular, Neutro, Superlativo
A-DPF	Adjetivo, Dativo, Plural, Femenino
A-DPF-C	Adjetivo, Dativo, Plural, Femenino, Comparativo
A-DPF-NUI	Adjetivo, Dativo, Plural, Femenino, NUmérico Indeclinable (Adjetivo)
A-DPF-S	Adjetivo, Dativo, Plural, Femenino, Superlativo
A-DPM	Adjetivo, Dativo, Plural, Masculino
A-DPM-C	Adjetivo, Dativo, Plural, Masculino, Comparativo
A-DPM-LG	Adjetivo, Dativo, Plural, Masculino, (LG) Gentilicio de Localización
A-DPM-NUI	Adjetivo, Dativo, Plural, Masculino, NUmérico Indeclinable (Adjetivo)
A-DPM-PG	Adjetivo, Dativo, Plural, Masculino, (PG) Gentilicio de Persona
A-DPM-S	Adjetivo, Dativo, Plural, Masculino, Superlativo
A-DPN	Adjetivo, Dativo, Plural, Neutro
A-DPN-LG	Adjetivo, Dativo, Plural, Neutro, (LG) Gentilicio de Localización
A-DPN-NUI	Adjetivo, Dativo, Plural, Neutro, NUmérico Indeclinable (Adjetivo)
A-DPN-S	Adjetivo, Dativo, Plural, Neutro, Superlativo
A-DSF	Adjetivo, Dativo, Singular, Femenino
A-DSF-C	Adjetivo, Dativo, Singular, Femenino, Comparativo
A-DSF-L	Adjetivo, Dativo, Singular, Femenino, Localización
A-DSF-LG	Adjetivo, Dativo, Singular, Femenino, (LG) Gentilicio de Localización
