OGNTsort	BGBsort	Book	Chapter	Verse	【Heading】	Crossref
000001	1	40	1	1	【The Genealogy of Jesus】	『ruth｜4｜18｜Ruth 4:18-22』『luke｜3｜23｜Luke 3:23-38』
000276	344	40	1	18	【The Birth of Jesus】	『isaiah｜7｜10｜Isaiah 7:10-16』『micah｜5｜1｜Micah 5:1-6』『luke｜2｜1｜Luke 2:1-7』
000437	537	40	2	1	【The Pilgrimage of the Magi】	
000657	805	40	2	13	【The Flight to Egypt】	『hosea｜11｜1｜Hosea 11:1-7』
000735	895	40	2	16	【The Slaughter of Infants】	『jeremiah｜31｜1｜Jeremiah 31:1-30』
000801	973	40	2	19	【The Return to Nazareth】	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜13｜53｜Matthew 13:53-58』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
000894	1086	40	3	1	【The Mission of John the Baptist】	『isaiah｜40｜1｜Isaiah 40:1-5』『mark｜1｜1｜Mark 1:1-8』『luke｜3｜1｜Luke 3:1-20』『john｜1｜19｜John 1:19-28』
001130	1370	40	3	13	【The Baptism of Jesus】	『mark｜1｜9｜Mark 1:9-11』『luke｜3｜21｜Luke 3:21-22』『john｜1｜29｜John 1:29-34』
001229	1489	40	4	1	【The Temptation of Jesus】	『mark｜1｜12｜Mark 1:12-13』『luke｜4｜1｜Luke 4:1-13』
001413	1718	40	4	12	【Jesus Begins His Ministry】	『isaiah｜9｜1｜Isaiah 9:1-7』『mark｜1｜14｜Mark 1:14-15』『luke｜4｜14｜Luke 4:14-15』
001494	1823	40	4	18	【The First Disciples】	『matthew｜13｜47｜Matthew 13:47-52』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
001583	1932	40	4	23	【Jesus Heals the Multitudes】	『luke｜6｜17｜Luke 6:17-19』
001658	2019	40	5	1	【The Sermon on the Mount】	
001682	2051	40	5	3	<pm>¶</pm>【The Beatitudes】	『psalms｜1｜1｜Psalm 1:1-6』『luke｜6｜20｜Luke 6:20-23』
001789	2198	40	5	13	【Salt and Light】	『philippians｜2｜12｜Philippians 2:12-18』
001871	2296	40	5	17	【The Fulfillment of the Law】	
001972	2413	40	5	21	【Anger and Reconciliation】	『luke｜12｜57｜Luke 12:57-59』
002110	2576	40	5	27	【Adultery】	『leviticus｜18｜1｜Leviticus 18:1-30』
002200	2682	40	5	31	【Divorce】	『deuteronomy｜24｜1｜Deuteronomy 24:1-5』『luke｜16｜18｜Luke 16:18-18』
002234	2724	40	5	33	【Oaths and Vows】	『numbers｜30｜1｜Numbers 30:1-16』
002316	2826	40	5	38	【Love Your Enemies】	『leviticus｜24｜17｜Leviticus 24:17-23』『luke｜6｜27｜Luke 6:27-36』
002480	3046	40	6	1	【Giving to the Needy】	『deuteronomy｜15｜7｜Deuteronomy 15:7-11』
002573	3154	40	6	5	<pm>¶</pm>【The Lord's Prayer】	『luke｜11｜1｜Luke 11:1-4』
002761	3406	40	6	16	【Proper Fasting】	
002824	3481	40	6	19	<pm>¶</pm>【Treasures in Heaven】	『matthew｜13｜44｜Matthew 13:44-46』
002873	3542	40	6	22	【The Lamp of the Body】	『luke｜11｜33｜Luke 11:33-36』
002945	3626	40	6	25	【Do Not Worry】	『luke｜12｜22｜Luke 12:22-34』
003133	3854	40	7	1	【Do Not Judge】	『luke｜6｜37｜Luke 6:37-42』『romans｜14｜1｜Romans 14:1-12』
003240	3986	40	7	7	【Ask, Seek, Knock】	『luke｜11｜5｜Luke 11:5-13』
003337	4107	40	7	13	【The Narrow Gate】	『luke｜13｜22｜Luke 13:22-30』
003381	4159	40	7	15	【A Tree and its Fruit】	『matthew｜12｜33｜Matthew 12:33-37』『luke｜6｜43｜Luke 6:43-45』
