Book	Chapter	Verse	【Heading】
40	1	1	【The Genealogy of Jesus】 (<a href='bible://ruth.4.18'>Ruth 4:18-22</a>; <a href='bible://luke.3.23'>Luke 3:23-38</a>)
40	1	18	【The Birth of Jesus】 (<a href='bible://isaiah.7.10'>Isaiah 7:10-16</a>; <a href='bible://micah.5.1'>Micah 5:1-6</a>; <a href='bible://luke.2.1'>Luke 2:1-7</a>)
40	2	1	【The Pilgrimage of the Magi】
40	2	13	【The Flight to Egypt】 (<a href='bible://hosea.11.1'>Hosea 11:1-7</a>)
40	2	16	【The Slaughter of Infants】 (<a href='bible://jeremiah.31.1'>Jeremiah 31:1-30</a>)
40	2	19	【The Return to Nazareth】 (<a href='bible://isaiah.61.1'>Isaiah 61:1-11</a>; <a href='bible://matthew.13.53'>Matthew 13:53-58</a>; <a href='bible://mark.6.1'>Mark 6:1-6</a>; <a href='bible://luke.2.39'>Luke 2:39-40</a>; <a href='bible://luke.4.16'>Luke 4:16-30</a>)
40	3	1	【The Mission of John the Baptist】 (<a href='bible://isaiah.40.1'>Isaiah 40:1-5</a>; <a href='bible://mark.1.1'>Mark 1:1-8</a>; <a href='bible://luke.3.1'>Luke 3:1-20</a>; <a href='bible://john.1.19'>John 1:19-28</a>)
40	3	13	【The Baptism of Jesus】 (<a href='bible://mark.1.9'>Mark 1:9-11</a>; <a href='bible://luke.3.21'>Luke 3:21-22</a>; <a href='bible://john.1.29'>John 1:29-34</a>)
40	4	1	【The Temptation of Jesus】 (<a href='bible://mark.1.12'>Mark 1:12-13</a>; <a href='bible://luke.4.1'>Luke 4:1-13</a>)
40	4	12	【Jesus Begins His Ministry】 (<a href='bible://isaiah.9.1'>Isaiah 9:1-7</a>; <a href='bible://mark.1.14'>Mark 1:14-15</a>; <a href='bible://luke.4.14'>Luke 4:14-15</a>)
40	4	18	【The First Disciples】 (<a href='bible://matthew.13.47'>Matthew 13:47-52</a>; <a href='bible://mark.1.16'>Mark 1:16-20</a>; <a href='bible://luke.5.1'>Luke 5:1-11</a>; <a href='bible://john.1.35'>John 1:35-42</a>)
40	4	23	【Jesus Heals the Multitudes】 (<a href='bible://luke.6.17'>Luke 6:17-19</a>)
40	5	1	【The Sermon on the Mount】
40	5	3	<pm>¶</pm>【The Beatitudes】 (<a href='bible://psalms.1.1'>Psalm 1:1-6</a>; <a href='bible://luke.6.20'>Luke 6:20-23</a>)
40	5	13	【Salt and Light】 (<a href='bible://philippians.2.12'>Philippians 2:12-18</a>)
40	5	17	【The Fulfillment of the Law】
40	5	21	【Anger and Reconciliation】 (<a href='bible://luke.12.57'>Luke 12:57-59</a>)
40	5	27	【Adultery】 (<a href='bible://leviticus.18.1'>Leviticus 18:1-30</a>)
40	5	31	【Divorce】 (<a href='bible://deuteronomy.24.1'>Deuteronomy 24:1-5</a>; <a href='bible://luke.16.18'>Luke 16:18-18</a>)
40	5	33	【Oaths and Vows】 (<a href='bible://numbers.30.1'>Numbers 30:1-16</a>)
40	5	38	【Love Your Enemies】 (<a href='bible://leviticus.24.17'>Leviticus 24:17-23</a>; <a href='bible://luke.6.27'>Luke 6:27-36</a>)
40	6	1	【Giving to the Needy】 (<a href='bible://deuteronomy.15.7'>Deuteronomy 15:7-11</a>)
40	6	5	<pm>¶</pm>【The Lord's Prayer】 (<a href='bible://luke.11.1'>Luke 11:1-4</a>)
40	6	16	【Proper Fasting】
40	6	19	<pm>¶</pm>【Treasures in Heaven】 (<a href='bible://matthew.13.44'>Matthew 13:44-46</a>)
40	6	22	【The Lamp of the Body】 (<a href='bible://luke.11.33'>Luke 11:33-36</a>)
40	6	25	【Do Not Worry】 (<a href='bible://luke.12.22'>Luke 12:22-34</a>)
40	7	1	【Do Not Judge】 (<a href='bible://luke.6.37'>Luke 6:37-42</a>; <a href='bible://romans.14.1'>Romans 14:1-12</a>)
40	7	7	【Ask, Seek, Knock】 (<a href='bible://luke.11.5'>Luke 11:5-13</a>)
40	7	13	【The Narrow Gate】 (<a href='bible://luke.13.22'>Luke 13:22-30</a>)
40	7	15	【A Tree and its Fruit】 (<a href='bible://matthew.12.33'>Matthew 12:33-37</a>; <a href='bible://luke.6.43'>Luke 6:43-45</a>)
40	7	24	【The House on the Rock】 (<a href='bible://luke.6.46'>Luke 6:46-49</a>)
40	7	28	<pm>¶</pm>【The Authority of Jesus】
40	8	1	<pm>¶</pm>【The Leper's Prayer】 (<a href='bible://leviticus.14.1'>Leviticus 14:1-32</a>; <a href='bible://mark.1.40'>Mark 1:40-45</a>; <a href='bible://luke.5.12'>Luke 5:12-16</a>)
40	8	5	【The Faith of the Centurion】 (<a href='bible://luke.7.1'>Luke 7:1-10</a>; <a href='bible://john.4.43'>John 4:43-54</a>)
40	8	14	【Jesus Heals at Peter's House】 (<a href='bible://mark.1.29'>Mark 1:29-34</a>; <a href='bible://luke.4.38'>Luke 4:38-41</a>)
40	8	18	【The Cost of Discipleship】 (<a href='bible://luke.9.57'>Luke 9:57-62</a>; <a href='bible://luke.14.25'>Luke 14:25-33</a>; <a href='bible://john.6.60'>John 6:60-65</a>)
40	8	23	【Jesus Calms the Storm】 (<a href='bible://mark.4.35'>Mark 4:35-41</a>; <a href='bible://luke.8.22'>Luke 8:22-25</a>)
40	8	28	【The Demons and the Pigs】 (<a href='bible://mark.5.1'>Mark 5:1-20</a>; <a href='bible://luke.8.26'>Luke 8:26-39</a>)
40	9	1	【Jesus Heals a Paralytic】 (<a href='bible://mark.2.1'>Mark 2:1-12</a>; <a href='bible://luke.5.17'>Luke 5:17-26</a>)
40	9	9	【The Calling of Matthew】 (<a href='bible://mark.2.13'>Mark 2:13-17</a>; <a href='bible://luke.5.27'>Luke 5:27-32</a>)
40	9	14	<pm>¶</pm>【Questions about Fasting】 (<a href='bible://mark.2.18'>Mark 2:18-20</a>; <a href='bible://luke.5.33'>Luke 5:33-35</a>)
40	9	16	<pm>¶</pm>【The Patches and the Wineskins】 (<a href='bible://mark.2.21'>Mark 2:21-22</a>; <a href='bible://luke.5.36'>Luke 5:36-39</a>)
40	9	18	【The Healing Touch of Jesus】 (<a href='bible://mark.5.21'>Mark 5:21-43</a>; <a href='bible://luke.8.40'>Luke 8:40-56</a>)
40	9	27	【Jesus Heals the Blind and Mute】 (<a href='bible://isaiah.35.1'>Isaiah 35:1-10</a>; <a href='bible://mark.7.31'>Mark 7:31-37</a>)
40	9	35	【The Lord of the Harvest】
40	10	1	【The Twelve Apostles】 (<a href='bible://mark.3.13'>Mark 3:13-19</a>; <a href='bible://luke.6.12'>Luke 6:12-16</a>)
40	10	5	【The Ministry of the Twelve】 (<a href='bible://mark.6.7'>Mark 6:7-13</a>; <a href='bible://luke.9.1'>Luke 9:1-6</a>)
40	10	16	【Sheep among Wolves】 (<a href='bible://2_timothy.1.6'>2 Timothy 1:6-12</a>)
40	10	26	【Fear God Alone】 (<a href='bible://luke.12.4'>Luke 12:4-7</a>)
40	10	32	【Confessing Christ】 (<a href='bible://luke.12.8'>Luke 12:8-12</a>)
40	10	34	【The Sword of the Gospel】 (<a href='bible://luke.12.49'>Luke 12:49-53</a>)
40	10	37	【Take up Your Cross】 (<a href='bible://matthew.16.24'>Matthew 16:24-28</a>; <a href='bible://mark.8.34'>Mark 8:34-38</a>; <a href='bible://luke.9.23'>Luke 9:23-27</a>)
