OGNTsort	NET2
000001	This is the record
000002	of the genealogy
000003	of Jesus
000004	Christ,
000005	the son
000006	of David,
000007	the son
000008	of Abraham.
000009	Abraham
000010	was the father
000011	
000012	of Isaac,
000013	Isaac
000014	
000015	the father
000016	
000017	of Jacob,
000018	Jacob
000019	
000020	the father
000021	
000022	of Judah
000023	
000024	
000025	and his brothers,
000026	
000027	Judah
000028	
000029	the father
000030	
000031	of Perez
000032	
000033	
000034	and Zerah
000035	(by
000036	
000037	Tamar),
000038	Perez
000039	
000040	the father
000041	
000042	of Hezron,
000043	Hezron
000044	
000045	the father
000046	
000047	of Ram,
000048	Ram
000049	
000050	the father
000051	
000052	of Amminadab,
000053	Amminadab
000054	
000055	the father
000056	
000057	of Nahshon,
000058	Nahshon
000059	
000060	the father
000061	
000062	of Salmon,
000063	Salmon
000064	
000065	the father
000066	
000067	of Boaz
000068	(by
000069	
000070	Rahab),
000071	Boaz
000072	
000073	the father
000074	
000075	of Obed
000076	(by
000077	
000078	Ruth),
000079	Obed
000080	
000081	the father
000082	
000083	of Jesse,
000084	Jesse
000085	and
000086	the father
000087	
000088	of David
000089	
000090	the king.
000091	David
000092	
000093	was the father
000094	
000095	of Solomon
000096	(by
000097	
000098	
000099	the wife of Uriah),
000100	Solomon
000101	
000102	the father
000103	
000104	of Rehoboam,
000105	Rehoboam
000106	
000107	the father
000108	
000109	of Abijah,
000110	Abijah
000111	
000112	the father
000113	
000114	of Asa,
000115	Asa
000116	
000117	the father
000118	
000119	of Jehoshaphat,
000120	Jehoshaphat
000121	
000122	the father
000123	
000124	of Joram,
000125	Joram
000126	
000127	the father
000128	
000129	of Uzziah,
000130	Uzziah
000131	
000132	the father
000133	
000134	of Jotham,
000135	Jotham
000136	
000137	the father
000138	
000139	of Ahaz,
000140	Ahaz
000141	
000142	the father
000143	
000144	of Hezekiah,
000145	Hezekiah
000146	
000147	the father
000148	
000149	of Manasseh,
000150	Manasseh
000151	
000152	the father
000153	
000154	of Amon,
000155	Amon
000156	
000157	the father
000158	
000159	of Josiah,
000160	and Josiah
000161	
000162	the father
000163	
000164	of Jeconiah
000165	
000166	
000167	and his brothers,
000168	
000169	at
000170	
000171	the time of the deportation
000172	to Babylon.
000173	After
000174	
000175	
000176	the deportation
000177	to Babylon,
000178	Jeconiah
000179	became the father
000180	
000181	of Shealtiel,
000182	Shealtiel
000183	
000184	the father
000185	
000186	of Zerubbabel,
000187	Zerubbabel
000188	
000189	the father
000190	
000191	of Abiud,
000192	Abiud
000193	
000194	the father
000195	
000196	of Eliakim,
000197	Eliakim
000198	
000199	the father
000200	
000201	of Azor,
000202	Azor
000203	
000204	the father
000205	
000206	of Zadok,
000207	Zadok
000208	
000209	the father
000210	
000211	of Achim,
000212	Achim
000213	
000214	the father
000215	
000216	of Eliud,
000217	Eliud
000218	
000219	the father
000220	
000221	of Eleazar,
000222	Eleazar
000223	
000224	the father
000225	
000226	of Matthan,
000227	Matthan
000228	
000229	the father
000230	
000231	of Jacob,
000232	and Jacob
000233	
000234	the father
000235	
000236	of Joseph,
000237	
000238	the husband
000239	of Mary,
000240	by
000241	whom
000242	was born,
000243	Jesus
000244	
000245	who is called
000246	Christ.
000247	all
000248	So
000249	
000250	the generations
000251	from
000252	Abraham
000253	to
000254	David
000255	generations,
000256	are fourteen
000257	
000258	and from
000259	David
000260	to
000261	
000262	the deportation
000263	to Babylon,
000264	generations,
000265	fourteen
000266	
000267	and from
000268	
000269	the deportation
000270	to Babylon
000271	to
000272	
000273	Christ,
000274	generations.
000275	fourteen
000276	
000277	Now
000278	of Jesus
000279	Christ
000280	
000281	the birth
000282	this way.
000283	happened
000284	was engaged
000285	
000286	While his mother
000287	
000288	Mary
000289	
000290	to Joseph,
000291	before
000292	but
000293	they came together,
000294	
000295	she was found
000296	
000297	to be pregnant
000298	
000299	through
000300	Spirit.
000301	the Holy
000302	Because Joseph,
000303	
000304	
000305	her husband
000306	
000307	a righteous man,
000308	to be, was
000309	
000310	and because he did not
000311	want
000312	
000313	to disgrace her,
000314	he intended
000315	privately.
000316	to divorce her
000317	
000318	
000319	
000320	
000321	When he had contemplated this,
000322	
000323	an angel
000324	of the Lord
000325	
000326	in a dream
000327	appeared to him
000328	
000329	and said,
000330	“Joseph,
000331	son
000332	of David,
000333	do not
000334	be afraid
000335	to take
000336	Mary
000337	
000338	as your wife,
000339	
000340	
000341	because
000342	in her
000343	
000344	the child conceived
000345	from
000346	Spirit.
000347	is
000348	the Holy
000349	She will give birth
000350	
000351	to a son
000352	
000353	
000354	
000355	and you will name him
000356	
000357	Jesus,
000358	
000359	because
000360	he will save
000361	
000362	his people
000363	
000364	from
000365	
000366	their sins.”
000367	
000368	
000369	
000370	This all
000371	happened
000372	so that
000373	would be fulfilled:
000374	
000375	
000376	by
000377	the Lord
000378	through
000379	
000380	the prophet
000381	what was spoken
000382	“Look!
000383	
000384	The virgin
000385	
000386	will conceive
000387	
000388	
000389	and give birth
000390	to a son,
000391	
000392	and they will name him
000393	
000394	
000395	
000396	Emmanuel,”
000397	which
000398	
000399	means
000400	with us.”
000401	
000402	
000403	“God
000404	awoke
000405	
000406	
000407	When Joseph
000408	from
000409	
000410	sleep
000411	he did
000412	what
000413	told him.
000414	
000415	
000416	the angel
000417	of the Lord
000418	
000419	He took
000420	
000421	his wife,
000422	
000423	
000424	but did not
000425	have marital relations with her
000426	
000427	until
000428	whom
000429	she gave birth
000430	to a son,
000431	
000432	he named
000433	
000434	
000435	
000436	Jesus.
000437	
000438	
000439	After Jesus
000440	was born
000441	in
000442	Bethlehem
000443	
