Book	Chapter	Verse	OGNTsort	BGBsort
40	1	1	000001	1
40	1	2	000009	13
40	1	3	000027	35
40	1	4	000048	60
40	1	5	000063	79
40	1	6	000084	104
40	1	7	000100	124
40	1	8	000115	143
40	1	9	000130	162
40	1	10	000145	181
40	1	11	000160	200
40	1	12	000173	217
40	1	13	000187	235
40	1	14	000202	254
40	1	15	000217	273
40	1	16	000232	292
40	1	17	000247	311
40	1	18	000276	344
40	1	19	000302	374
40	1	20	000318	394
40	1	21	000349	429
40	1	22	000368	452
40	1	23	000382	470
40	1	24	000404	496
40	1	25	000423	519
40	2	1	000437	537
40	2	2	000457	561
40	2	3	000477	585
40	2	4	000488	600
40	2	5	000504	620
40	2	6	000518	638
40	2	7	000542	666
40	2	8	000556	684
40	2	9	000578	710
40	2	10	000603	739
40	2	11	000611	751
40	2	12	000641	785
40	2	13	000657	805
40	2	14	000697	849
40	2	15	000712	868
40	2	16	000735	895
40	2	17	000772	936
40	2	18	000781	949
40	2	19	000801	973
40	2	20	000815	991
40	2	21	000837	1017
40	2	22	000852	1036
40	2	23	000877	1065
40	3	1	000894	1086
40	3	2	000909	1105
40	3	3	000918	1118
40	3	4	000942	1146
40	3	5	000969	1177
40	3	6	000984	1196
40	3	7	000996	1212
40	3	8	001020	1240
40	3	9	001026	1250
40	3	10	001051	1279
40	3	11	001073	1305
40	3	12	001104	1340
40	3	13	001130	1370
40	3	14	001147	1391
40	3	15	001164	1412
40	3	16	001184	1436
40	3	17	001212	1468
40	4	1	001229	1489
40	4	2	001243	1507
40	4	3	001252	1520
40	4	4	001270	1542
40	4	5	001290	1566
40	4	6	001307	1587
40	4	7	001339	1624
40	4	8	001351	1640
40	4	9	001372	1665
40	4	10	001383	1680
40	4	11	001401	1702
40	4	12	001413	1718
40	4	13	001422	1731
40	4	14	001437	1750
40	4	15	001446	1763
40	4	16	001459	1780
40	4	17	001479	1804
40	4	18	001494	1823
40	4	19	001521	1854
40	4	20	001532	1869
40	4	21	001540	1881
40	4	22	001571	1916
40	4	23	001583	1932
40	4	24	001610	1963
40	4	25	001640	1997
40	5	1	001658	2019
40	5	2	001674	2039
40	5	3	001682	2051
40	5	4	001694	2067
40	5	5	001700	2077
40	5	6	001708	2089
40	5	7	001718	2103
40	5	8	001724	2113
40	5	9	001734	2127
40	5	10	001742	2139
40	5	11	001754	2155
40	5	12	001770	2175
40	5	13	001789	2198
40	5	14	001815	2228
40	5	15	001828	2245
40	5	16	001848	2269
40	5	17	001871	2296
40	5	18	001886	2315
40	5	19	001913	2346
40	5	20	001949	2386
40	5	21	001972	2413
40	5	22	001987	2432
40	5	23	002026	2475
40	5	24	002045	2498
40	5	25	002067	2524
40	5	26	002097	2559
40	5	27	002110	2576
40	5	28	002115	2585
40	5	29	002135	2609
40	5	30	002168	2646
40	5	31	002200	2682
40	5	32	002211	2697
40	5	33	002234	2724
40	5	34	002249	2743
40	5	35	002265	2763
40	5	36	002284	2786
40	5	37	002299	2805
40	5	38	002316	2826
40	5	39	002326	2840
40	5	40	002348	2866
40	5	41	002363	2885
40	5	42	002373	2899
40	5	43	002385	2915
40	5	44	002397	2931
40	5	45	002411	2961
40	5	46	002435	2989
40	5	47	002451	3009
40	5	48	002468	3030
40	6	1	002480	3046
40	6	2	002509	3078
40	6	3	002540	3113
40	6	4	002554	3131
40	6	5	002573	3154
40	6	6	002605	3190
40	6	7	002638	3227
40	6	8	002653	3246
40	6	9	002670	3269
40	6	10	002684	3287
40	6	11	002698	3305
40	6	12	002706	3317
40	6	13	002719	3334
40	6	14	002731	3365
40	6	15	002747	3385
40	6	16	002761	3406
40	6	17	002787	3436
40	6	18	002799	3452
40	6	19	002824	3481
40	6	20	002842	3503
40	6	21	002861	3526
40	6	22	002873	3542
40	6	23	002893	3566
40	6	24	002918	3595
40	6	25	002945	3626
40	6	26	002977	3662
40	6	27	003005	3694
40	6	28	003018	3711
40	6	29	003034	3731
40	6	30	003049	3750
40	6	31	003071	3776
40	6	32	003083	3792
40	6	33	003100	3813
40	6	34	003116	3833
40	7	1	003133	3854
40	7	2	003138	3863
40	7	3	003151	3880
40	7	4	003172	3905
40	7	5	003194	3931
40	7	6	003215	3956
40	7	7	003240	3986
40	7	8	003251	4001
40	7	9	003264	4018
40	7	10	003280	4038
40	7	11	003288	4050
40	7	12	003314	4080
40	7	13	003337	4107
40	7	14	003362	4136
40	7	15	003381	4159
40	7	16	003397	4179
40	7	17	003412	4198
40	7	18	003426	4216
40	7	19	003439	4233
40	7	20	003450	4248
40	7	21	003458	4259
40	7	22	003483	4288
40	7	23	003510	4319
40	7	24	003525	4338
40	7	25	003547	4364
40	7	26	003572	4393
40	7	27	003595	4420
40	7	28	003620	4449
40	7	29	003636	4469
40	8	1	003649	4486
40	8	2	003659	4500
40	8	3	003672	4517
40	8	4	003687	4536
40	8	5	003711	4564
40	8	6	003721	4578
40	8	7	003734	4595
40	8	8	003741	4601v
40	8	9	003765	4634
40	8	10	003795	4669
40	8	11	003815	4693
40	8	12	003838	4720
40	8	13	003858	4744
40	8	14	003878	4768
40	8	15	003893	4787
40	8	16	003908	4806
40	8	17	003926	4828
