G1	<grk>Ἀλφα</grk> alpha
G2	<grk>Ἀαρών</grk> Aaron
G3	<grk>Ἀβαδδών</grk> Abaddon
G4	<grk>ἀβαρής</grk> not burdensome
G5	<grk>ἀββά</grk> Father
G6	<grk>Ἄβελ</grk> Abel
G7	<grk>Ἀβιά</grk> Abijah
G8	<grk>Ἀβιαθάρ</grk> Abiathar
G9	<grk>Ἀβιληνή</grk> Abilene
G10	<grk>Ἀβιούδ</grk> Abiud
G11	<grk>Ἀβραάμ</grk> Abraham
G12	<grk>ἄβυσσος</grk> abyss
G13	<grk>Ἄγαβος</grk> Agabus
G14	<grk>ἀγαθοεργέω</grk> to do good
G15	<grk>ἀγαθοποιέω</grk> to do good
G16	<grk>ἀγαθοποιΐα</grk> doing good
G17	<grk>ἀγαθοποιός</grk> doing good
G18	<grk>ἀγαθός</grk> good-doer
G19	<grk>ἀγαθωσύνη</grk> goodness
G20	<grk>ἀγαλλίασις</grk> joy
G21	<grk>ἀγαλλιάω</grk> to rejoice
G22	<grk>ἄγαμος</grk> unmarried
G23	<grk>ἀγανακτέω</grk> be indignant
G24	<grk>ἀγανάκτησις</grk> indignation
G25	<grk>ἀγαπάω</grk> to love
G26	<grk>ἀγάπη</grk> love
G27	<grk>ἀγαπητός</grk> beloved
G28	<grk>Ἄγαρ</grk> Hagar
G29	<grk>ἀγγαρεύω</grk> to force
G30	<grk>ἀγγεῖον</grk> jar
G31	<grk>ἀγγελία</grk> message
G32	<grk>ἄγγελος</grk> angel
G33	<grk>ἄγε</grk> to lead
G34	<grk>ἀγέλη</grk> herd
G35	<grk>ἀγενεαλόγητος</grk> without genealogy
G36	<grk>ἀγενής</grk> lowly
G37	<grk>ἁγιάζω</grk> to sanctify
G38	<grk>ἁγιασμός</grk> holiness
G39	<grk>ἅγιον</grk> holy
G40	<grk>ἅγιος</grk> holy
G41	<grk>ἁγιότης</grk> holiness
G42	<grk>ἁγιωσύνη</grk> holiness
G43	<grk>ἀγκάλη</grk> arm
G44	<grk>ἄγκιστρον</grk> fishhook
G45	<grk>ἄγκυρα</grk> anchor
G46	<grk>ἄγναφος</grk> unshrunk
G47	<grk>ἁγνεία</grk> purity
G48	<grk>ἁγνίζω</grk> to purify
G49	<grk>ἁγνισμός</grk> purification
G50	<grk>ἀγνοέω</grk> be ignorant
G51	<grk>ἀγνόημα</grk> error
G52	<grk>ἄγνοια</grk> ignorance
G53	<grk>ἁγνός</grk> pure
G54	<grk>ἁγνότης</grk> purity
G55	<grk>ἁγνῶς</grk> purely
G56	<grk>ἀγνωσία</grk> ignorance
G57	<grk>ἄγνωστος</grk> unknown
G58	<grk>ἀγορά</grk> marketplace
G59	<grk>ἀγοράζω</grk> to buy
G60	<grk>ἀγοραῖος</grk> of the marketplace
G61	<grk>ἄγρα</grk> catch
G62	<grk>ἀγράμματος</grk> unschooled
G63	<grk>ἀγραυλέω</grk> to live outside
G64	<grk>ἀγρεύω</grk> to catch
G65	<grk>ἀγριέλαιος</grk> wild olive tree
G66	<grk>ἄγριος</grk> wild
G67	<grk>Ἀγρίππας</grk> Agrippa
G68	<grk>ἀγρός</grk> field
G69	<grk>ἀγρυπνέω</grk> be watchful
G70	<grk>ἀγρυπνία</grk> sleeplessness
G71	<grk>ἄγω</grk> to bring
G72	<grk>ἀγωγή</grk> self-conduct
G73	<grk>ἀγών</grk> fight
G74	<grk>ἀγωνία</grk> a struggle
G75	<grk>ἀγωνίζομαι</grk> to struggle
G76	<grk>Ἀδάμ</grk> Adam
G77	<grk>ἀδάπανος</grk> free
G78	<grk>Ἀδδί</grk> Addi
G79	<grk>ἀδελφή</grk> sister
G80	<grk>ἀδελφός</grk> brother
G81	<grk>ἀδελφότης</grk> brotherhood
G82	<grk>ἄδηλος</grk> unclear
G83	<grk>ἀδηλότης</grk> uncertainty
G84	<grk>ἀδήλως</grk> uncertainly
G85	<grk>ἀδημονέω</grk> be distressed
G86	<grk>ᾍδης</grk> Hades
G87	<grk>ἀδιάκριτος</grk> impartial
G88	<grk>ἀδιάλειπτος</grk> continuous
G89	<grk>ἀδιαλείπτως</grk> unceasingly
G90	<grk>ἀδιαφθορία</grk> integrity
G91	<grk>ἀδικέω</grk> to harm
G92	<grk>ἀδίκημα</grk> crime
G93	<grk>ἀδικία</grk> unrighteousness
