G1	Alpha; the first letter of the Greek alphabet.
G2	Aaron, son of Amram and Jochebed, brother of Moses.
G3	Abaddon, Destroyer (i.e. Destroying Angel) or place of destruction (personified).
G4	Not burdensome, bringing no weight or oppression upon.
G5	Abba, Father.
G6	Abel, second son of Adam and Eve, brother of Cain.
G7	Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests.
G8	Abiathar, a priest in King David's time.
G9	The Abilenian territory, the territory of Abila (in Syria), a small principality in the mountains of Damascus.
G10	Abiud, son of Zerubbabel and father of Eliakim.
G11	Abraham, progenitor of the Hebrew race.
G12	The abyss, unfathomable depth, an especially Jewish conception, the home of the dead and of evil spirits.
G13	Agabus, a Christian prophet.
G14	To work that which is good, perform good deeds.
G15	To do that which is good.
G16	The doing of that which is good, well-doing.
G17	A doer of that which is good.
G18	Intrinsically good, good in nature, good whether it be seen to be so or not, the widest and most colorless of all words with this meaning.
G19	Intrinsic goodness, especially as a personal quality, with stress on the kindly (rather than the righteous) side of goodness.
G20	Wild joy, ecstatic delight, exultation, exhilaration.
G21	To exult, to be full of joy.
G22	Unmarried, of a person not in a state of wedlock, whether he or she has formerly been married or not.
G23	To be angry, incensed.
G24	Feeling of anger, indignation, vexation.
G25	To love, wish well to, take pleasure in, long for; denotes the love of reason, esteem.
G26	Love, benevolence, good will, esteem; plural: love-feasts.
G27	Loved, beloved, with two special applications: the Beloved, a title of the Messiah (Christ), as beloved beyond all others by the God who sent Him; of Christians, as beloved by God, Christ, and one another.
G28	Hagar, the servant of Sarah, concubine of Abraham.
G29	To impress (into my service), send (on an errand).
G30	A vessel, flask.
G31	A message.
G32	A messenger, generally a (supernatural) messenger from God, an angel, conveying news or behests from God to men.
G34	A flock, herd.
G35	Of unrecorded genealogy, whose descent cannot be traced.
G36	Literal: without family, hence: ignoble, base.
G37	To make holy, treat as holy, set apart as holy, sanctify, hallow, purify.
G38	The process of making or becoming holy, set apart, sanctification, holiness, consecration.
G40	Set apart by (or for) God, holy, sacred.
G41	Holiness, sanctity, as an abstract quality.
G42	A holy or sanctified state.
G43	An arm, especially as bent to receive a burden.
G44	A fish-hook.
G45	An anchor.
