GrkSortIncl	OGNT	N1904
1	Βίβλος	Βίβλος
2	γενέσεως	γενέσεως
3	Ἰησοῦ	Ἰησοῦ
4	Χριστοῦ	Χριστοῦ
5	υἱοῦ	υἱοῦ
6	Δαυὶδ	Δαυὶδ
7	υἱοῦ	υἱοῦ
8	Ἀβραάμ	Ἀβραάμ.
13	Ἀβραὰμ	Ἀβραὰμ
14	ἐγέννησεν	ἐγέννησεν
15	τὸν	τὸν
16	Ἰσαάκ	Ἰσαάκ,
17	Ἰσαὰκ	Ἰσαὰκ
18	δὲ	δὲ
19	ἐγέννησεν	ἐγέννησεν
20	τὸν	τὸν
21	Ἰακώβ	Ἰακώβ,
22	Ἰακὼβ	Ἰακὼβ
23	δὲ	δὲ
24	ἐγέννησεν	ἐγέννησεν
25	τὸν	τὸν
26	Ἰούδαν	Ἰούδαν
27	καὶ	καὶ
28	τοὺς	τοὺς
29	ἀδελφοὺς	ἀδελφοὺς
30	αὐτοῦ	αὐτοῦ,
35	Ἰούδας	Ἰούδας
36	δὲ	δὲ
37	ἐγέννησεν	ἐγέννησεν
38	τὸν	τὸν
39	Φαρὲς	Φαρὲς
40	καὶ	καὶ
41	τὸν	τὸν
42	Ζαρὰ	Ζαρὰ
43	ἐκ	ἐκ
44	τῆς	τῆς
45	Θάμαρ	Θάμαρ,
46	Φαρὲς	Φαρὲς
47	δὲ	δὲ
48	ἐγέννησεν	ἐγέννησεν
49	τὸν	τὸν
50	Ἑσρώμ	Ἑσρώμ,
51	Ἑσρὼμ	Ἑσρὼμ
52	δὲ	δὲ
53	ἐγέννησεν	ἐγέννησεν
54	τὸν	τὸν
55	Ἀράμ	Ἀράμ,
60	Ἀρὰμ	Ἀρὰμ
61	δὲ	δὲ
62	ἐγέννησεν	ἐγέννησεν
63	τὸν	τὸν
64	Ἀμιναδάβ	Ἀμιναδάβ,
65	Ἀμιναδὰβ	Ἀμιναδὰβ
66	δὲ	δὲ
67	ἐγέννησεν	ἐγέννησεν
68	τὸν	τὸν
69	Ναασσών	Ναασσών,
70	Ναασσὼν	Ναασσὼν
71	δὲ	δὲ
72	ἐγέννησεν	ἐγέννησεν
73	τὸν	τὸν
74	Σαλμών	Σαλμών,
