Book	Chapter	Verse	OGNT	TANTT
40	2	16	πᾶσι	πᾶσιν
40	8	4	ἀλλὰ	ἀλλ᾽
40	9	13	ἀλλὰ	ἀλλ᾽
40	9	18	ἀλλὰ	ἀλλ᾽
40	16	12	ἀλλὰ	ἀλλ᾽
40	17	12	ἀλλὰ	ἀλλ᾽
40	18	10	βλέπουσι	βλέπουσιν
40	18	22	ἀλλὰ	ἀλλ᾽
40	18	30	ἀλλὰ	ἀλλ᾽
40	19	28	παλινγενεσίᾳ	παλιγγενεσίᾳ
40	20	12	βαστάσασι	βαστάσασιν
40	23	20	πᾶσι	πᾶσιν
41	1	27	πνεύμασι	πνεύμασιν
41	1	44	ἀλλὰ	ἀλλ᾽
41	2	4	χαλῶσι	χαλῶσιν
41	2	17	ἀλλὰ	ἀλλ᾽
41	2	22	ἀλλὰ	ἀλλ᾽
41	3	29	ἀλλὰ	ἀλλ᾽
41	6	9	ἀλλὰ	ἀλλ᾽
41	11	32	ἀλλὰ	ἀλλ᾽
41	13	24	Ἀλλὰ	Ἀλλ᾽
41	14	54	συνκαθήμενος	συγκαθήμενος
41	15	16	συνκαλοῦσιν	συγκαλοῦσιν
41	16	7	ἀλλὰ	ἀλλ᾽
41	16	10	πενθοῦσι	πενθοῦσιν
42	1	3	ἔδοξε	ἔδοξεν
42	1	9	ἔλαχε	ἔλαχεν
42	5	14	Ἀλλὰ	ἀλλ᾽
42	5	31	ἀλλὰ	ἀλλ᾽
42	5	32	ἀλλὰ	ἀλλ᾽
42	5	38	ἀλλὰ	ἀλλ᾽
42	6	27	Ἀλλὰ	Ἀλλ᾽
42	7	7	ἀλλὰ	ἀλλ᾽
42	9	1	Συνκαλεσάμενος	Συγκαλεσάμενος
42	10	20	ἐνγέγραπται	ἐγγέγραπται
42	11	42	Ἀλλὰ	ἀλλ᾽
42	13	11	συνκύπτουσα	συγκύπτουσα
42	15	6	συνκαλεῖ	συγκαλεῖ
42	15	6	Συνχάρητέ	συγχάρητέ
42	15	9	συνκαλεῖ	συγκαλεῖ
42	15	9	Συνχάρητέ	συγχάρητέ
42	16	13	δυσὶ	δυσὶν
42	16	26	πᾶσι	πᾶσιν
42	16	29	Ἔχουσι	ἔχουσιν
42	18	1	ἐνκακεῖν	ἐγκακεῖν
42	20	20	ἐνκαθέτους	ἐγκαθέτους
42	22	55	συνκαθισάντων	συγκαθισάντων
42	23	13	συνκαλεσάμενος	συγκαλεσάμενος
42	23	51	συνκατατεθειμένος	συγκατατεθειμένος
42	24	6	ἀλλὰ	ἀλλ᾽
43	4	9	συνχρῶνται	συγχρῶνται
43	4	23	ἀλλὰ	ἀλλ᾽
43	5	23	τιμῶσι	τιμῶσιν
43	5	23	τιμῶσι	τιμῶσιν
43	5	42	ἀλλὰ	ἀλλ᾽
43	6	39	ἀλλὰ	ἀλλ᾽
43	7	10	ἀλλὰ	ἀλλ᾽
43	7	49	ἀλλὰ	ἀλλ᾽
43	8	7	αὐτῇ	αὐτὴν
43	8	55	ἀλλὰ	ἀλλ᾽
43	9	9	ἀλλὰ	ἀλλ᾽
43	10	1	ἀλλὰ	ἀλλ᾽
43	10	14	γινώσκουσί	γινώσκουσίν
43	10	22	ἐνκαίνια	ἐγκαίνια
43	10	26	ἀλλὰ	ἀλλ᾽
43	11	15	ἀλλὰ	ἀλλ᾽
43	11	51	ἀλλὰ	ἀλλ᾽
43	11	54	ἀλλὰ	ἀλλ᾽
43	12	44	ἀλλὰ	ἀλλ᾽
43	21	8	ἀλλὰ	ἀλλ᾽
44	1	10	ἐσθήσεσι	ἐσθήσεσιν
44	1	19	πᾶσι	πᾶσιν
44	1	26	συνκατεψηφίσθη	συγκατεψηφίσθη
44	2	22	δυνάμεσι	δυνάμεσιν
44	2	22	τέρασι	τέρασιν
44	2	27	ἐνκαταλείψεις	ἐγκαταλείψεις
44	2	31	ἐνκατελείφθη	ἐγκατελείφθη
44	7	39	ἀλλὰ	ἀλλ᾽
44	9	6	ἀλλὰ	ἀλλ᾽
44	10	20	ἀλλὰ	ἀλλ᾽
44	10	24	συνκαλεσάμενος	συγκαλεσάμενος
44	15	20	ἀλλὰ	ἀλλ᾽
44	15	22	ἔδοξε	ἔδοξεν
44	15	26	παραδεδωκόσι	παραδεδωκόσιν
44	16	12	πρώτη	πρώτης
44	16	37	ἀλλὰ	ἀλλ᾽
44	17	7	πράσσουσι	πράσσουσιν
44	17	25	πᾶσι	πᾶσιν
44	18	10	ἐστί	ἐστίν
44	18	18	Κενχρεαῖς	Κεγχρεαῖς
44	18	21	ἀλλὰ	ἀλλ᾽
44	19	6	ἦλθε	ἦλθεν
44	19	38	ἔχουσι	ἔχουσιν
44	21	5	γυναιξὶ	γυναιξὶν
44	21	31	συνχύννεται	συγχύννεται
44	21	33	ἁλύσεσι	ἁλύσεσιν
44	21	33	δυσί	δυσίν
44	23	11	οὕτω	οὕτως
44	23	22	ἀπέλυσε	ἀπέλυσεν
44	23	24	διασώσωσι	διασώσωσιν
44	24	4	ἐνκόπτω	ἐγκόπτω
44	24	14	πᾶσι	πᾶσιν
44	24	27	κατέλιπε	κατέλιπεν
44	25	5	συνκαταβάντες	συγκαταβάντες
44	26	4	ἴσασι	ἴσασιν
44	26	5	θέλωσι	θέλωσιν
44	26	16	ἀλλὰ	ἀλλ᾽
44	26	25	ἀλλὰ	ἀλλ᾽
44	26	30	συνκαθήμενοι	συγκαθήμενοι
44	28	15	ἔλαβε	ἔλαβεν
44	28	17	συνκαλέσασθαι	συγκαλέσασθαι
44	28	17	ἔθεσι	ἔθεσιν
45	1	21	ἀλλὰ	ἀλλ᾽
45	2	8	ἀπειθοῦσι	ἀπειθοῦσιν
45	4	20	ἀλλὰ	ἀλλ᾽
45	5	14	ἀλλὰ	ἀλλ᾽
45	6	14	ἀλλὰ	ἀλλ᾽
45	6	15	ἀλλὰ	ἀλλ᾽
45	7	13	ἀλλὰ	ἀλλ᾽
45	7	17	ἀλλὰ	ἀλλ᾽
45	7	19	ἀλλὰ	ἀλλ᾽
45	7	20	ἀλλὰ	ἀλλ᾽
45	8	9	ἀλλὰ	ἀλλ᾽
45	8	15	ἀλλὰ	ἀλλ᾽
45	8	17	συνκληρονόμοι	συγκληρονόμοι
45	8	26	ἀλλὰ	ἀλλ᾽
45	8	32	ἀλλὰ	ἀλλ᾽
45	11	10	σύνκαμψον	σύγκαμψον
45	11	17	συνκοινωνὸς	συγκοινωνὸς
45	11	18	ἀλλὰ	ἀλλ᾽
45	11	23	ἐνκεντρισθήσονται	ἐγκεντρισθήσονται
45	11	23	ἐνκεντρίσαι	ἐγκεντρίσαι
45	11	24	ἐνκεντρισθήσονται	ἐγκεντρισθήσονται
45	12	20	Ἀλλὰ	ἀλλ᾽
45	13	14	ἀλλὰ	ἀλλ᾽
45	15	23	κλίμασι	κλίμασιν
45	16	1	Κενχρεαῖς	Κεγχρεαῖς
45	16	14	Ἀσύνκριτον	Ἀσύγκριτον
46	1	17	ἀλλὰ	ἀλλ᾽
46	2	13	συνκρίνοντες	συγκρίνοντες
46	3	6	ἀλλὰ	ἀλλ᾽
46	6	6	ἀλλὰ	ἀλλ᾽
46	6	8	ἀλλὰ	ἀλλ᾽
46	6	11	ἀλλὰ	ἀλλ᾽
46	6	11	ἀλλὰ	ἀλλ᾽
46	6	11	ἀλλὰ	ἀλλ᾽
46	7	4	ἀλλὰ	ἀλλ᾽
46	7	4	ἀλλὰ	ἀλλ᾽
46	7	6	συνγνώμην	συγγνώμην
46	7	7	ἀλλὰ	ἀλλ᾽
46	7	10	ἀλλὰ	ἀλλ᾽
46	9	12	ἐνκοπὴν	ἐγκοπὴν
46	9	23	συνκοινωνὸς	συγκοινωνὸς
46	9	27	ἀλλὰ	ἀλλ᾽
46	11	17	ἀλλὰ	ἀλλ᾽
46	12	24	Ἀλλὰ	Ἀλλ᾽
46	12	26	συνχαίρει	συγχαίρει
46	13	6	συνχαίρει	συγχαίρει
46	14	19	ἀλλὰ	ἀλλ᾽
46	14	33	ἀλλὰ	ἀλλ᾽
46	14	34	ἀλλὰ	ἀλλ᾽
46	15	10	ἀλλὰ	ἀλλ᾽
46	15	35	Ἀλλὰ	Ἀλλ᾽
46	15	39	ἀλλὰ	ἀλλ᾽
46	15	40	ἀλλὰ	ἀλλ᾽
47	1	9	ἀλλὰ	ἀλλ᾽
47	2	5	ἀλλὰ	ἀλλ᾽
47	2	13	ἀλλὰ	ἀλλ᾽
47	3	2	ἐνγεγραμμένη	ἐγγεγραμμένη
47	3	3	ἐνγεγραμμένη	ἐγγεγραμμένη
47	3	14	Ἀλλὰ	ἀλλ᾽
47	4	2	ἀλλὰ	ἀλλ᾽
47	4	5	ἀλλὰ	ἀλλ᾽
47	5	12	ἀλλὰ	ἀλλ᾽
47	6	16	συνκατάθεσις	συγκατάθεσις
47	7	11	ἀλλὰ	ἀλλ᾽
47	7	11	ἀλλὰ	ἀλλ᾽
47	7	11	ἀλλὰ	ἀλλ᾽
47	7	11	ἀλλὰ	ἀλλ᾽
47	10	12	ἐνκρῖναι	ἐγκρῖναι
47	10	12	συνκρῖναι	συγκρῖναι
47	10	12	ἀλλὰ	ἀλλ᾽
47	10	12	συνκρίνοντες	συγκρίνοντες
47	10	18	ἀλλὰ	ἀλλ᾽
47	11	25	ἐραβδίσθην	ἐρραβδίσθην
47	12	14	ἀλλὰ	ἀλλ᾽
47	12	14	ἀλλὰ	ἀλλ᾽
47	12	16	ἀλλὰ	ἀλλ᾽
47	13	8	ἀλλὰ	ἀλλ᾽
48	1	17	ἀλλὰ	ἀλλ᾽
48	3	23	συνκλειόμενοι	συγκλειόμενοι
48	4	2	ἀλλὰ	ἀλλ᾽
48	4	7	ἀλλὰ	ἀλλ᾽
48	4	14	ἀλλὰ	ἀλλ᾽
48	4	17	ἀλλὰ	ἀλλ᾽
48	6	9	ἐνκακῶμεν	ἐγκακῶμεν
49	2	19	ἀλλὰ	ἀλλ᾽
49	3	6	συνκληρονόμα	συγκληρονόμα
49	3	13	ἐνκακεῖν	ἐγκακεῖν
49	4	29	ἀλλὰ	ἀλλ᾽
49	5	11	συνκοινωνεῖτε	συγκοινωνεῖτε
49	5	24	ἀλλὰ	ἀλλ᾽
49	5	29	ἀλλὰ	ἀλλ᾽
49	6	4	ἀλλὰ	ἀλλ᾽
50	1	7	συνκοινωνούς	συγκοινωνούς
50	2	7	ἀλλὰ	ἀλλ᾽
50	2	17	Ἀλλὰ	Ἀλλ᾽
50	2	17	συνχαίρω	συγχαίρω
50	2	18	συνχαίρετέ	συγχαίρετέ
50	2	27	ἀλλὰ	ἀλλ᾽
50	3	7	Ἀλλὰ	Ἀλλ᾽
50	3	17	οὕτω	οὕτως
50	4	14	συνκοινωνήσαντές	συγκοινωνήσαντές
50	4	17	ἀλλὰ	ἀλλ᾽
52	2	7	Ἀλλὰ	ἀλλ᾽
52	5	9	ἀλλὰ	ἀλλ᾽
53	1	4	ἐνκαυχᾶσθαι	ἐγκαυχᾶσθαι
53	2	12	ἀλλὰ	ἀλλ᾽
54	1	9	ἀσεβέσι	ἀσεβέσιν
54	1	13	ἀλλὰ	ἀλλ᾽
54	3	3	ἀλλὰ	ἀλλ᾽
54	4	3	ἐπεγνωκόσι	ἐπεγνωκόσιν
54	5	23	ἀλλὰ	ἀλλ᾽
55	1	8	συνκακοπάθησον	συγκακοπάθησον
55	2	3	Συνκακοπάθησον	Συγκακοπάθησον
55	2	9	ἀλλὰ	ἀλλ᾽
55	2	24	ἀλλὰ	ἀλλ᾽
55	4	8	πᾶσι	πᾶσιν
55	4	8	ἠγαπηκόσι	ἠγαπηκόσιν
56	3	5	παλινγενεσίας	παλιγγενεσίας
57	1	16	ἀλλὰ	ἀλλ᾽
