書卷	章Chapter	節Verse	｛和合本字序＊和合本譯字｜1｝
40	1	1	｛8＃譜，｜2｝
40	1	1	｛7＃家｜3｝
40	1	1	｛5＃耶穌｜4｝
40	1	1	｛6＃基督的｜5｝
40	1	1	｛4＃子孫，｜6｝
40	1	1	｛3＃大衛的｜7｝
40	1	1	｛2＃後裔。〔後裔子孫原文都作兒子下同〕｜8｝
40	1	1	｛1＃亞伯拉罕的｜9｝
40	1	2	｛1＃亞伯拉罕｜11｝
40	1	2	｛2＃生｜12｝
40	1	2	｛3＃以撒；｜14｝
40	1	2	｛4＃以撒｜15｝
40	1	2	｛5＃生｜17｝
40	1	2	｛6＃雅各；｜19｝
40	1	2	｛7＃雅各｜20｝
40	1	2	｛8＃生｜22｝
40	1	2	｛9＃猶大｜24｝
40	1	2	｛10＃和｜25｝
40	1	2	｛12＃弟兄；｜27｝
40	1	2	｛11＃他的｜28｝
40	1	3	｛1＃猶大｜29｝
40	1	3	｛4＃生｜31｝
40	1	3	｛5＃法勒斯｜33｝
40	1	3	｛6＃和｜34｝
40	1	3	｛7＃謝拉；｜36｝
40	1	3	｛2＃從｜37｝
40	1	3	｛3＃他瑪氏｜39｝
40	1	3	｛8＃法勒斯｜40｝
40	1	3	｛9＃生｜42｝
40	1	3	｛10＃希斯崙；｜44｝
40	1	3	｛11＃希斯崙｜45｝
40	1	3	｛12＃生｜47｝
40	1	3	｛13＃亞蘭；｜49｝
40	1	4	｛1＃亞蘭｜50｝
40	1	4	｛2＃生｜52｝
40	1	4	｛3＃亞米拿達；｜54｝
40	1	4	｛4＃亞米拿達｜55｝
40	1	4	｛5＃生｜57｝
40	1	4	｛6＃拿順；｜59｝
40	1	4	｛7＃拿順｜60｝
40	1	4	｛8＃生｜62｝
40	1	4	｛9＃撒門；｜64｝
40	1	5	｛1＃撒門｜65｝
40	1	5	｛4＃生｜67｝
40	1	5	｛5＃波阿斯；｜69｝
40	1	5	｛2＃從｜70｝
40	1	5	｛3＃喇合氏｜72｝
40	1	5	｛6＃波阿斯｜73｝
40	1	5	｛9＃生｜75｝
40	1	5	｛10＃俄備得；｜77｝
40	1	5	｛7＃從｜78｝
40	1	5	｛8＃路得氏｜80｝
40	1	5	｛11＃俄備得｜81｝
40	1	5	｛12＃生｜83｝
40	1	5	｛13＃耶西；｜85｝
40	1	6	｛1＃耶西｜86｝
40	1	6	｛2＃生｜88｝
40	1	6	｛3＃大衛｜90｝
40	1	6	｛4＃王。｜92｝
40	1	6	｛5＃大衛｜93｝
40	1	6	｛9＃生｜95｝
40	1	6	｛10＃所羅門；｜97｝
40	1	6	｛6＃從｜98｝
40	1	6	｛8＃妻子｜100｝
40	1	6	｛7＃烏利亞的｜101｝
40	1	7	｛1＃所羅門｜104｝
40	1	7	｛2＃生｜106｝
40	1	7	｛3＃羅波安；｜108｝
40	1	7	｛4＃羅波安｜109｝
40	1	7	｛5＃生｜111｝
40	1	7	｛6＃亞比雅；｜113｝
40	1	7	｛7＃亞比雅｜114｝
40	1	7	｛8＃生｜116｝
40	1	7	｛9＃亞撒；｜118｝
40	1	8	｛1＃亞撒｜119｝
40	1	8	｛2＃生｜121｝
40	1	8	｛3＃約沙法；｜123｝
40	1	8	｛4＃約沙法｜124｝
40	1	8	｛5＃生｜126｝
40	1	8	｛6＃約蘭；｜128｝
40	1	8	｛7＃約蘭｜129｝
40	1	8	｛8＃生｜131｝
40	1	8	｛9＃烏西亞；｜133｝
40	1	9	｛1＃烏西亞｜134｝
40	1	9	｛2＃生｜136｝
40	1	9	｛3＃約坦；｜138｝
40	1	9	｛4＃約坦｜139｝
40	1	9	｛5＃生｜141｝
40	1	9	｛6＃亞哈斯；｜143｝
40	1	9	｛7＃亞哈斯｜144｝
40	1	9	｛8＃生｜146｝
40	1	9	｛9＃希西家；｜148｝
40	1	10	｛1＃希西家｜149｝
40	1	10	｛2＃生｜151｝
40	1	10	｛3＃瑪拿西；｜153｝
40	1	10	｛4＃瑪拿西｜154｝
40	1	10	｛5＃生｜156｝
40	1	10	｛6＃亞們；｜158｝
40	1	10	｛7＃亞們｜159｝
40	1	10	｛8＃生｜161｝
40	1	10	｛9＃約西亞；｜163｝
40	1	11	｛4＃約西亞｜164｝
40	1	11	｛5＃生｜166｝
40	1	11	｛6＃耶哥尼雅｜168｝
40	1	11	｛7＃和｜169｝
40	1	11	｛9＃弟兄。｜171｝
40	1	11	｛8＃他的｜172｝
40	1	11	｛1＃百姓被遷到｜175｝
40	1	11	｛2＃巴比倫｜176｝
40	1	11	｛3＊的時候，｜177｝
40	1	12	｛3＃之後，｜178｝
40	1	12	｛1＃遷到｜181｝
40	1	12	｛2＃巴比倫｜182｝
40	1	12	｛4＃耶哥尼雅｜183｝
40	1	12	｛5＃生｜184｝
40	1	12	｛6＃撒拉鐵；｜186｝
40	1	12	｛7＃撒拉鐵｜187｝
40	1	12	｛8＃生｜189｝
40	1	12	｛9＃所羅巴伯；｜191｝
40	1	13	｛1＃所羅巴伯｜192｝
40	1	13	｛2＃生｜194｝
40	1	13	｛3＃亞比玉；｜196｝
40	1	13	｛4＃亞比玉｜197｝
40	1	13	｛5＃生｜199｝
40	1	13	｛6＃以利亞敬；｜201｝
40	1	13	｛7＃以利亞敬｜202｝
40	1	13	｛8＃生｜204｝
40	1	13	｛9＃亞所；｜206｝
40	1	14	｛1＃亞所｜207｝
40	1	14	｛2＃生｜209｝
40	1	14	｛3＃撒督；｜211｝
40	1	14	｛4＃撒督｜212｝
40	1	14	｛5＃生｜214｝
40	1	14	｛6＃亞金；｜216｝
40	1	14	｛7＃亞金｜217｝
40	1	14	｛8＃生｜219｝
40	1	14	｛9＃以律；｜221｝
40	1	15	｛1＃以律｜222｝
40	1	15	｛2＃生｜224｝
40	1	15	｛3＃以利亞撒；｜226｝
40	1	15	｛4＃以利亞撒｜227｝
40	1	15	｛5＃生｜229｝
40	1	15	｛6＃馬但；｜231｝
40	1	15	｛7＃馬但｜232｝
40	1	15	｛8＃生｜234｝
40	1	15	｛9＃雅各；｜236｝
40	1	16	｛1＃雅各｜237｝
40	1	16	｛2＃生｜239｝
40	1	16	｛3＃約瑟，｜241｝
40	1	16	｛5＃丈夫；｜243｝
40	1	16	｛4＃就是馬利亞的｜244｝
40	1	16	｛10＃是從｜245｝
40	1	16	｛11＃馬利亞｜246｝
40	1	16	｛12＃生的。｜247｝
40	1	16	｛9＃耶穌，｜248｝
40	1	16	｛6＃那｜249｝
40	1	16	｛7＃稱為｜250｝
40	1	16	｛8＃基督的｜251｝
40	1	17	｛6＃共有｜253｝
40	1	17	｛1＃這樣，｜254｝
40	1	17	｛2＃從｜257｝
40	1	17	｛3＃亞伯拉罕｜258｝
40	1	17	｛4＃到｜259｝
40	1	17	｛5＃大衛，｜260｝
40	1	17	｛8＃代；｜261｝
40	1	17	｛7＃十四｜262｝
40	1	17	｛9＃從｜264｝
40	1	17	｛10＃大衛｜265｝
40	1	17	｛11＃到｜266｝
40	1	17	｛12＃遷至｜268｝
40	1	17	｛13＃巴比倫的時候，｜269｝
40	1	17	｛15＃代；｜270｝
40	1	17	｛14＃也有十四｜271｝
40	1	17	｛16＃從｜273｝
40	1	17	｛17＃遷至｜275｝
40	1	17	｛18＃巴比倫的時候｜276｝
40	1	17	｛19＃到｜277｝
40	1	17	｛20＃基督，｜279｝
40	1	17	｛22＃代。｜280｝
40	1	17	｛21＃又有十四｜281｝
40	1	18	｛5＃事，｜283｝
40	1	18	｛1＃耶穌｜284｝
