OGNTsort	book	chapter	verse	〈StrongNo｜AlternateStrongNo〉
000001	40	1	1	〈G976｜〉
000002	40	1	1	〈G1078｜〉
000003	40	1	1	〈G2424｜〉
000004	40	1	1	〈G5547｜〉
000005	40	1	1	〈G5207｜〉
000006	40	1	1	〈G1138｜〉
000007	40	1	1	〈G5207｜〉
000008	40	1	1	〈G11｜〉
000009	40	1	2	〈G11｜〉
000010	40	1	2	〈G1080｜〉
000011	40	1	2	〈G3588｜〉
000012	40	1	2	〈G2464｜〉
000013	40	1	2	〈G2464｜〉
000014	40	1	2	〈G1161｜〉
000015	40	1	2	〈G1080｜〉
000016	40	1	2	〈G3588｜〉
000017	40	1	2	〈G2384｜〉
000018	40	1	2	〈G2384｜〉
000019	40	1	2	〈G1161｜〉
000020	40	1	2	〈G1080｜〉
000021	40	1	2	〈G3588｜〉
000022	40	1	2	〈G2455｜〉
000023	40	1	2	〈G2532｜〉
000024	40	1	2	〈G3588｜〉
000025	40	1	2	〈G80｜〉
000026	40	1	2	〈G846｜〉
000027	40	1	3	〈G2455｜〉
000028	40	1	3	〈G1161｜〉
000029	40	1	3	〈G1080｜〉
000030	40	1	3	〈G3588｜〉
000031	40	1	3	〈G5329｜〉
000032	40	1	3	〈G2532｜〉
000033	40	1	3	〈G3588｜〉
000034	40	1	3	〈G2196｜〉
000035	40	1	3	〈G1537｜〉
000036	40	1	3	〈G3588｜〉
000037	40	1	3	〈G2283｜〉
000038	40	1	3	〈G5329｜〉
000039	40	1	3	〈G1161｜〉
000040	40	1	3	〈G1080｜〉
000041	40	1	3	〈G3588｜〉
000042	40	1	3	〈G2074｜〉
000043	40	1	3	〈G2074｜〉
000044	40	1	3	〈G1161｜〉
000045	40	1	3	〈G1080｜〉
000046	40	1	3	〈G3588｜〉
000047	40	1	3	〈G689｜〉
000048	40	1	4	〈G689｜〉
000049	40	1	4	〈G1161｜〉
000050	40	1	4	〈G1080｜〉
000051	40	1	4	〈G3588｜〉
000052	40	1	4	〈G284｜〉
000053	40	1	4	〈G284｜〉
000054	40	1	4	〈G1161｜〉
000055	40	1	4	〈G1080｜〉
000056	40	1	4	〈G3588｜〉
000057	40	1	4	〈G3476｜〉
000058	40	1	4	〈G3476｜〉
000059	40	1	4	〈G1161｜〉
000060	40	1	4	〈G1080｜〉
000061	40	1	4	〈G3588｜〉
000062	40	1	4	〈G4533｜〉
000063	40	1	5	〈G4533｜〉
000064	40	1	5	〈G1161｜〉
000065	40	1	5	〈G1080｜〉
000066	40	1	5	〈G3588｜〉
000067	40	1	5	〈G1003｜〉
000068	40	1	5	〈G1537｜〉
000069	40	1	5	〈G3588｜〉
000070	40	1	5	〈G4477｜〉
000071	40	1	5	〈G1003｜〉
000072	40	1	5	〈G1161｜〉
000073	40	1	5	〈G1080｜〉
000074	40	1	5	〈G3588｜〉
000075	40	1	5	〈G5601｜〉
000076	40	1	5	〈G1537｜〉
000077	40	1	5	〈G3588｜〉
000078	40	1	5	〈G4503｜〉
000079	40	1	5	〈G5601｜〉
000080	40	1	5	〈G1161｜〉
000081	40	1	5	〈G1080｜〉
000082	40	1	5	〈G3588｜〉
000083	40	1	5	〈G2421｜〉
000084	40	1	6	〈G2421｜〉
000085	40	1	6	〈G1161｜〉
000086	40	1	6	〈G1080｜〉
000087	40	1	6	〈G3588｜〉
000088	40	1	6	〈G1138｜〉
000089	40	1	6	〈G3588｜〉
000090	40	1	6	〈G935｜〉
000091	40	1	6	〈G1138｜〉
000092	40	1	6	〈G1161｜〉
000093	40	1	6	〈G1080｜〉
000094	40	1	6	〈G3588｜〉
000095	40	1	6	〈G4672｜〉
000096	40	1	6	〈G1537｜〉
000097	40	1	6	〈G3588｜〉
000098	40	1	6	〈G3588｜〉
000099	40	1	6	〈G3774｜〉
000100	40	1	7	〈G4672｜〉
000101	40	1	7	〈G1161｜〉
000102	40	1	7	〈G1080｜〉
000103	40	1	7	〈G3588｜〉
000104	40	1	7	〈G4497｜〉
000105	40	1	7	〈G4497｜〉
000106	40	1	7	〈G1161｜〉
000107	40	1	7	〈G1080｜〉
000108	40	1	7	〈G3588｜〉
000109	40	1	7	〈G7｜〉
000110	40	1	7	〈G7｜〉
000111	40	1	7	〈G1161｜〉
000112	40	1	7	〈G1080｜〉
000113	40	1	7	〈G3588｜〉
000114	40	1	7	〈G760｜〉
000115	40	1	8	〈G760｜〉
000116	40	1	8	〈G1161｜〉
000117	40	1	8	〈G1080｜〉
000118	40	1	8	〈G3588｜〉
000119	40	1	8	〈G2498｜〉
000120	40	1	8	〈G2498｜〉
000121	40	1	8	〈G1161｜〉
000122	40	1	8	〈G1080｜〉
000123	40	1	8	〈G3588｜〉
000124	40	1	8	〈G2496｜〉
000125	40	1	8	〈G2496｜〉
000126	40	1	8	〈G1161｜〉
000127	40	1	8	〈G1080｜〉
000128	40	1	8	〈G3588｜〉
000129	40	1	8	〈G3604｜〉
000130	40	1	9	〈G3604｜〉
000131	40	1	9	〈G1161｜〉
000132	40	1	9	〈G1080｜〉
000133	40	1	9	〈G3588｜〉
000134	40	1	9	〈G2488｜〉
000135	40	1	9	〈G2488｜〉
000136	40	1	9	〈G1161｜〉
000137	40	1	9	〈G1080｜〉
000138	40	1	9	〈G3588｜〉
000139	40	1	9	〈G881｜〉
000140	40	1	9	〈G881｜〉
000141	40	1	9	〈G1161｜〉
000142	40	1	9	〈G1080｜〉
000143	40	1	9	〈G3588｜〉
000144	40	1	9	〈G1478｜〉
000145	40	1	10	〈G1478｜〉
000146	40	1	10	〈G1161｜〉
000147	40	1	10	〈G1080｜〉
000148	40	1	10	〈G3588｜〉
000149	40	1	10	〈G3128｜〉
000150	40	1	10	〈G3128｜〉
000151	40	1	10	〈G1161｜〉
000152	40	1	10	〈G1080｜〉
000153	40	1	10	〈G3588｜〉
000154	40	1	10	〈G301｜〉
000155	40	1	10	〈G301｜〉
000156	40	1	10	〈G1161｜〉
000157	40	1	10	〈G1080｜〉
000158	40	1	10	〈G3588｜〉
000159	40	1	10	〈G2502｜〉
000160	40	1	11	〈G2502｜〉
000161	40	1	11	〈G1161｜〉
000162	40	1	11	〈G1080｜〉
000163	40	1	11	〈G3588｜〉
000164	40	1	11	〈G2423｜〉
000165	40	1	11	〈G2532｜〉
000166	40	1	11	〈G3588｜〉
000167	40	1	11	〈G80｜〉
000168	40	1	11	〈G846｜〉
000169	40	1	11	〈G1909｜〉
000170	40	1	11	〈G3588｜〉
000171	40	1	11	〈G3350｜〉
000172	40	1	11	〈G897｜〉
000173	40	1	12	〈G3326｜〉
000174	40	1	12	〈G1161｜〉
000175	40	1	12	〈G3588｜〉
000176	40	1	12	〈G3350｜〉
000177	40	1	12	〈G897｜〉
000178	40	1	12	〈G2423｜〉
000179	40	1	12	〈G1080｜〉
000180	40	1	12	〈G3588｜〉
000181	40	1	12	〈G4528｜〉
000182	40	1	12	〈G4528｜〉
000183	40	1	12	〈G1161｜〉
000184	40	1	12	〈G1080｜〉
000185	40	1	12	〈G3588｜〉
000186	40	1	12	〈G2216｜〉
000187	40	1	13	〈G2216｜〉
000188	40	1	13	〈G1161｜〉
000189	40	1	13	〈G1080｜〉
000190	40	1	13	〈G3588｜〉
000191	40	1	13	〈G10｜〉
000192	40	1	13	〈G10｜〉
000193	40	1	13	〈G1161｜〉
000194	40	1	13	〈G1080｜〉
000195	40	1	13	〈G3588｜〉
000196	40	1	13	〈G1662｜〉
000197	40	1	13	〈G1662｜〉
