English	Translation
『ABBreviated form』	[put translation here]
『Accusative』	[put translation here]
『Active』	[put translation here]
『Adjective』	[put translation here]
『ADVerb or adverb and particle combined』	[put translation here]
『ADVerb』	[put translation here]
『Aeolic』	[put translation here]
『Aorist』	[put translation here]
『Apocopated form』	[put translation here]
『ARAMaic transliterated word (indeclinable)』	[put translation here]
『ATTic form』	[put translation here]
『ATTic Greek form』	[put translation here]
『Comparative』	[put translation here]
『CONDitional particle or conjunction』	[put translation here]
『CONDitional particle』	[put translation here]
『CONJunction or conjunctive particle』	[put translation here]
『CONJunction』	[put translation here]
『Contracted form』	[put translation here]
『correlative or interrogative pronoun』	[put translation here]
『correlative pronoun』	[put translation here]
『Dative』	[put translation here]
『definite article』	[put translation here]
『Demonstrative pronoun』	[put translation here]
『disjunctive particle』	[put translation here]
『Either middle or passive』	[put translation here]
『Feminine』	[put translation here]
『first』	[put translation here]
『Future』	[put translation here]
『Genitive』	[put translation here]
『HEBrew transliterated word (indeclinable)』	[put translation here]
『HEBrew』	[put translation here]
『iMperative』	[put translation here]
『Imperfect』	[put translation here]
『impersonal active』	[put translation here]
『Indeclinable Letter (Noun)』	[put translation here]
『Indeclinable Noun of Other type』	[put translation here]
『Indeclinable NUmeral (Adjective)』	[put translation here]
『Indeclinable PRoper Noun』	[put translation here]
『indefinite pronoun』	[put translation here]
『Indicative』	[put translation here]
『iNfinitive』	[put translation here]
『INterJection』	[put translation here]
『Interrogative pronoun』	[put translation here]
『Interrogative』	[put translation here]
『IRRegular or impure form』	[put translation here]
『Kai』	[put translation here]
『Letter Indeclinable (N)』	[put translation here]
『Location Gentilic』	[put translation here]
『Location』	[put translation here]
『Masculine』	[put translation here]
『middle Deponent』	[put translation here]
『middle or passive depoNent』	[put translation here]
『Middle significance』	[put translation here]
『Middle』	[put translation here]
『Negative』	[put translation here]
『Neuter』	[put translation here]
『no tense stated (adverbial imperative)』	[put translation here]
『no voice stated』	[put translation here]
『Nominative』	[put translation here]
『Noun』	[put translation here]
『NUmerical Indiclinable (A)』	[put translation here]
『Optative』	[put translation here]
『Participle』	[put translation here]
『Particle attached』	[put translation here]
『PaRTicle』	[put translation here]
『passive depOnent』	[put translation here]
『Passive』	[put translation here]
『peRfect』	[put translation here]
『Person Gentilic』	[put translation here]
『Person』	[put translation here]
『Personal pronoun』	[put translation here]
『pLuperfect』	[put translation here]
『Plural』	[put translation here]
『poSsessive pronoun』	[put translation here]
『PREPosition』	[put translation here]
『Present』	[put translation here]
『reCiprocal pronoun』	[put translation here]
『reFlexive pronoun』	[put translation here]
『Relative pronoun』	[put translation here]
『second Aorist』	[put translation here]
『second Future』	[put translation here]
『second peRfect』	[put translation here]
『second pLuperfect』	[put translation here]
『second Present』	[put translation here]
『second』	[put translation here]
『Singular』	[put translation here]
『Subjunctive』	[put translation here]
『Superlative』	[put translation here]
『third』	[put translation here]
『Title』	[put translation here]
『Transitive』	[put translation here]
『Verb』	[put translation here]
『Vocative』	[put translation here]
