OGNTsort	OGNTa
000001	Βίβλος
000002	γενέσεως
000003	Ἰησοῦ
000004	Χριστοῦ
000005	υἱοῦ
000006	Δαυὶδ
000007	υἱοῦ
000008	Ἀβραάμ
000009	Ἀβραὰμ
000010	ἐγέννησεν
000011	τὸν
000012	Ἰσαάκ
000013	Ἰσαὰκ
000014	δὲ
000015	ἐγέννησεν
000016	τὸν
000017	Ἰακώβ
000018	Ἰακὼβ
000019	δὲ
000020	ἐγέννησεν
000021	τὸν
000022	Ἰούδαν
000023	καὶ
000024	τοὺς
000025	ἀδελφοὺς
000026	αὐτοῦ
000027	Ἰούδας
000028	δὲ
000029	ἐγέννησεν
000030	τὸν
000031	Φαρὲς
000032	καὶ
000033	τὸν
000034	Ζαρὰ
000035	ἐκ
000036	τῆς
000037	Θάμαρ
000038	Φαρὲς
000039	δὲ
000040	ἐγέννησεν
000041	τὸν
000042	Ἑσρώμ
000043	Ἑσρὼμ
000044	δὲ
000045	ἐγέννησεν
000046	τὸν
000047	Ἀράμ
000048	Ἀρὰμ
000049	δὲ
000050	ἐγέννησεν
000051	τὸν
000052	Ἀμιναδάβ
000053	Ἀμιναδὰβ
000054	δὲ
000055	ἐγέννησεν
000056	τὸν
000057	Ναασσών
000058	Ναασσὼν
000059	δὲ
000060	ἐγέννησεν
000061	τὸν
000062	Σαλμών
000063	Σαλμὼν
000064	δὲ
000065	ἐγέννησεν
000066	τὸν
000067	Βόες
000068	ἐκ
000069	τῆς
000070	Ῥαχάβ
000071	Βόες
000072	δὲ
000073	ἐγέννησεν
000074	τὸν
000075	Ἰωβὴδ
000076	ἐκ
000077	τῆς
000078	Ῥούθ
000079	Ἰωβὴδ
000080	δὲ
000081	ἐγέννησεν
000082	τὸν
000083	Ἰεσσαί
000084	Ἰεσσαὶ
000085	δὲ
000086	ἐγέννησεν
000087	τὸν
000088	Δαυὶδ
000089	τὸν
000090	βασιλέα
000091	Δαυὶδ
000092	δὲ
000093	ἐγέννησεν
000094	τὸν
000095	Σολομῶνα
000096	ἐκ
000097	τῆς
000098	τοῦ
000099	Οὐρίου
000100	Σολομὼν
000101	δὲ
000102	ἐγέννησεν
000103	τὸν
000104	Ῥοβοάμ
000105	Ῥοβοὰμ
000106	δὲ
000107	ἐγέννησεν
000108	τὸν
000109	Ἀβιά
000110	Ἀβιὰ
000111	δὲ
000112	ἐγέννησεν
000113	τὸν
000114	Ἀσάφ
000115	Ἀσὰφ
000116	δὲ
000117	ἐγέννησεν
000118	τὸν
000119	Ἰωσαφάτ
000120	Ἰωσαφὰτ
000121	δὲ
000122	ἐγέννησεν
000123	τὸν
000124	Ἰωράμ
000125	Ἰωρὰμ
000126	δὲ
000127	ἐγέννησεν
000128	τὸν
000129	Ὀζίαν
000130	Ὀζίας
000131	δὲ
000132	ἐγέννησεν
000133	τὸν
000134	Ἰωαθάμ
000135	Ἰωαθὰμ
000136	δὲ
000137	ἐγέννησεν
000138	τὸν
000139	Ἄχαζ
000140	Ἄχαζ
000141	δὲ
000142	ἐγέννησεν
000143	τὸν
000144	Ἑζεκίαν
000145	Ἑζεκίας
000146	δὲ
000147	ἐγέννησεν
000148	τὸν
000149	Μανασσῆ
000150	Μανασσῆς
000151	δὲ
000152	ἐγέννησεν
000153	τὸν
000154	Ἀμώς
000155	Ἀμὼς
000156	δὲ
000157	ἐγέννησεν
000158	τὸν
000159	Ἰωσίαν
000160	Ἰωσίας
000161	δὲ
000162	ἐγέννησεν
000163	τὸν
000164	Ἰεχονίαν
000165	καὶ
000166	τοὺς
000167	ἀδελφοὺς
000168	αὐτοῦ
000169	ἐπὶ
000170	τῆς
000171	μετοικεσίας
000172	Βαβυλῶνος
000173	Μετὰ
000174	δὲ
000175	τὴν
000176	μετοικεσίαν
000177	Βαβυλῶνος
000178	Ἰεχονίας
000179	ἐγέννησεν
000180	τὸν
000181	Σαλαθιήλ
000182	Σαλαθιὴλ
000183	δὲ
000184	ἐγέννησεν
000185	τὸν
000186	Ζοροβαβέλ
000187	Ζοροβαβὲλ
000188	δὲ
000189	ἐγέννησεν
000190	τὸν
000191	Ἀβιούδ
000192	Ἀβιοὺδ
000193	δὲ
000194	ἐγέννησεν
000195	τὸν
000196	Ἐλιακίμ
000197	Ἐλιακὶμ
000198	δὲ
000199	ἐγέννησεν
000200	τὸν
000201	Ἀζώρ
000202	Ἀζὼρ
000203	δὲ
000204	ἐγέννησεν
000205	τὸν
000206	Σαδώκ
000207	Σαδὼκ
000208	δὲ
000209	ἐγέννησεν
000210	τὸν
000211	Ἀχίμ
000212	Ἀχὶμ
000213	δὲ
000214	ἐγέννησεν
000215	τὸν
000216	Ἐλιούδ
000217	Ἐλιοὺδ
000218	δὲ
000219	ἐγέννησεν
000220	τὸν
000221	Ἐλεάζαρ
000222	Ἐλεάζαρ
000223	δὲ
000224	ἐγέννησεν
000225	τὸν
000226	Ματθάν
000227	Ματθὰν
000228	δὲ
000229	ἐγέννησεν
000230	τὸν
000231	Ἰακώβ
000232	Ἰακὼβ
000233	δὲ
000234	ἐγέννησεν
000235	τὸν
000236	Ἰωσὴφ
000237	τὸν
000238	ἄνδρα
000239	Μαρίας
000240	ἐξ
000241	ἧς
000242	ἐγεννήθη
000243	Ἰησοῦς
000244	ὁ
000245	λεγόμενος
000246	Χριστός
000247	Πᾶσαι
000248	οὖν
000249	αἱ
000250	γενεαὶ
000251	ἀπὸ
000252	Ἀβραὰμ
000253	ἕως
000254	Δαυὶδ
000255	γενεαὶ
000256	δεκατέσσαρες
000257	καὶ
