c1	〔40｜1｜1〕
c2	〔40｜1｜2〕
c3	〔40｜1｜2〕
c4	〔40｜1｜2〕
c5	〔40｜1｜3〕
c6	〔40｜1｜3〕
c7	〔40｜1｜3〕
c8	〔40｜1｜4〕
c9	〔40｜1｜4〕
c10	〔40｜1｜4〕
c11	〔40｜1｜5〕
c12	〔40｜1｜5〕
c13	〔40｜1｜5〕
c14	〔40｜1｜6〕
c15	〔40｜1｜6〕
c16	〔40｜1｜7〕
c17	〔40｜1｜7〕
c18	〔40｜1｜7〕
c19	〔40｜1｜8〕
c20	〔40｜1｜8〕
c21	〔40｜1｜8〕
c22	〔40｜1｜9〕
c23	〔40｜1｜9〕
c24	〔40｜1｜9〕
c25	〔40｜1｜10〕
c26	〔40｜1｜10〕
c27	〔40｜1｜10〕
c28	〔40｜1｜11〕
c29	〔40｜1｜12〕
c30	〔40｜1｜12〕
c31	〔40｜1｜13〕
c32	〔40｜1｜13〕
c33	〔40｜1｜13〕
c34	〔40｜1｜14〕
c35	〔40｜1｜14〕
c36	〔40｜1｜14〕
c37	〔40｜1｜15〕
c38	〔40｜1｜15〕
c39	〔40｜1｜15〕
c40	〔40｜1｜16〕
c41	〔40｜1｜16〕
c42	〔40｜1｜17〕
c43	〔40｜1｜17〕
c44	〔40｜1｜17〕
c45	〔40｜1｜18〕
c46	〔40｜1｜18〕
c47	〔40｜1｜18〕
c48	〔40｜1｜18〕
c49	〔40｜1｜18〕
c50	〔40｜1｜19〕
c51	〔40｜1｜19〕
c52	〔40｜1｜19〕
c53	〔40｜1｜19〕
c54	〔40｜1｜20〕
c55	〔40｜1｜20〕
c56	〔40｜1｜20〕
c57	〔40｜1｜20〕
c58	〔40｜1｜20〕
c59	〔40｜1｜20〕
c60	〔40｜1｜21〕
c61	〔40｜1｜21〕
c62	〔40｜1｜21〕
c63	〔40｜1｜22〕
c64	〔40｜1｜22〕
c65	〔40｜1｜22〕
c66	〔40｜1｜23〕
c67	〔40｜1｜23〕
c68	〔40｜1｜23〕
c69	〔40｜1｜23〕
c70	〔40｜1｜23〕
c71	〔40｜1｜24〕
c72	〔40｜1｜24〕
c73	〔40｜1｜24〕
c74	〔40｜1｜24〕
c75	〔40｜1｜25〕
c76	〔40｜1｜25〕
c77	〔40｜1｜25〕
c78	〔40｜2｜1〕
c79	〔40｜2｜1〕
c80	〔40｜2｜2〕
c81	〔40｜2｜2〕
c82	〔40｜2｜2〕
c83	〔40｜2｜2〕
c84	〔40｜2｜3〕
c85	〔40｜2｜3〕
c86	〔40｜2｜4〕
c87	〔40｜2｜4〕
c88	〔40｜2｜4〕
c89	〔40｜2｜5〕
c90	〔40｜2｜5〕
c91	〔40｜2｜5〕
c92	〔40｜2｜6〕
c93	〔40｜2｜6〕
c94	〔40｜2｜6〕
c95	〔40｜2｜7〕
c96	〔40｜2｜7〕
c97	〔40｜2｜8〕
c98	〔40｜2｜8〕
c99	〔40｜2｜8〕
c100	〔40｜2｜8〕
c101	〔40｜2｜8〕
c102	〔40｜2｜8〕
c103	〔40｜2｜8〕
c104	〔40｜2｜8〕
c105	〔40｜2｜9〕
c106	〔40｜2｜9〕
c107	〔40｜2｜9〕
c108	〔40｜2｜9〕
c109	〔40｜2｜9〕
c110	〔40｜2｜9〕
