FEATURESsort1	OGNTsort	NA27id
000001	000001	40.1.1!1
000002	000002	40.1.1!2
000003	000003	40.1.1!3
000004	000004	40.1.1!4
000005	000005	40.1.1!5
000006	000006	40.1.1!6
000007	000007	40.1.1!7
000008	000008	40.1.1!8
000009	000009	40.1.2!1
000010	000010	40.1.2!2
000011	000011	40.1.2!3
000012	000012	40.1.2!4
000013	000013	40.1.2!5
000014	000014	40.1.2!6
000015	000015	40.1.2!7
000016	000016	40.1.2!8
000017	000017	40.1.2!9
000018	000018	40.1.2!10
000019	000019	40.1.2!11
000020	000020	40.1.2!12
000021	000021	40.1.2!13
000022	000022	40.1.2!14
000023	000023	40.1.2!15
000024	000024	40.1.2!16
000025	000025	40.1.2!17
000026	000026	40.1.2!18
000027	000027	40.1.3!1
000028	000028	40.1.3!2
000029	000029	40.1.3!3
000030	000030	40.1.3!4
000031	000031	40.1.3!5
000032	000032	40.1.3!6
000033	000033	40.1.3!7
000034	000034	40.1.3!8
000035	000035	40.1.3!9
000036	000036	40.1.3!10
000037	000037	40.1.3!11
000038	000038	40.1.3!12
000039	000039	40.1.3!13
000040	000040	40.1.3!14
000041	000041	40.1.3!15
000042	000042	40.1.3!16
000043	000043	40.1.3!17
000044	000044	40.1.3!18
000045	000045	40.1.3!19
000046	000046	40.1.3!20
000047	000047	40.1.3!21
000048	000048	40.1.4!1
000049	000049	40.1.4!2
000050	000050	40.1.4!3
000051	000051	40.1.4!4
000052	000052	40.1.4!5
000053	000053	40.1.4!6
000054	000054	40.1.4!7
000055	000055	40.1.4!8
000056	000056	40.1.4!9
000057	000057	40.1.4!10
000058	000058	40.1.4!11
000059	000059	40.1.4!12
000060	000060	40.1.4!13
000061	000061	40.1.4!14
000062	000062	40.1.4!15
000063	000063	40.1.5!1
000064	000064	40.1.5!2
000065	000065	40.1.5!3
000066	000066	40.1.5!4
000067	000067	40.1.5!5
000068	000068	40.1.5!6
000069	000069	40.1.5!7
000070	000070	40.1.5!8
000071	000071	40.1.5!9
000072	000072	40.1.5!10
000073	000073	40.1.5!11
000074	000074	40.1.5!12
000075	000075	40.1.5!13
000076	000076	40.1.5!14
000077	000077	40.1.5!15
000078	000078	40.1.5!16
000079	000079	40.1.5!17
000080	000080	40.1.5!18
000081	000081	40.1.5!19
000082	000082	40.1.5!20
000083	000083	40.1.5!21
000084	000084	40.1.6!1
000085	000085	40.1.6!2
000086	000086	40.1.6!3
000087	000087	40.1.6!4
000088	000088	40.1.6!5
000089	000089	40.1.6!6
000090	000090	40.1.6!7
000091	000091	40.1.6!8
000092	000092	40.1.6!9
000093	000093	40.1.6!10
000094	000094	40.1.6!11
000095	000095	40.1.6!12
000096	000096	40.1.6!13
000097	000097	40.1.6!14
000098	000098	40.1.6!15
000099	000099	40.1.6!16
000100	000100	40.1.7!1
000101	000101	40.1.7!2
000102	000102	40.1.7!3
000103	000103	40.1.7!4
000104	000104	40.1.7!5
000105	000105	40.1.7!6
000106	000106	40.1.7!7
000107	000107	40.1.7!8
000108	000108	40.1.7!9
000109	000109	40.1.7!10
000110	000110	40.1.7!11
000111	000111	40.1.7!12
000112	000112	40.1.7!13
000113	000113	40.1.7!14
000114	000114	40.1.7!15
000115	000115	40.1.8!1
000116	000116	40.1.8!2
000117	000117	40.1.8!3
000118	000118	40.1.8!4
000119	000119	40.1.8!5
000120	000120	40.1.8!6
000121	000121	40.1.8!7
000122	000122	40.1.8!8
000123	000123	40.1.8!9
000124	000124	40.1.8!10
000125	000125	40.1.8!11
000126	000126	40.1.8!12
000127	000127	40.1.8!13
000128	000128	40.1.8!14
000129	000129	40.1.8!15
000130	000130	40.1.9!1
000131	000131	40.1.9!2
000132	000132	40.1.9!3
000133	000133	40.1.9!4
000134	000134	40.1.9!5
000135	000135	40.1.9!6
000136	000136	40.1.9!7
000137	000137	40.1.9!8
000138	000138	40.1.9!9
000139	000139	40.1.9!10
000140	000140	40.1.9!11
000141	000141	40.1.9!12
000142	000142	40.1.9!13
000143	000143	40.1.9!14
000144	000144	40.1.9!15
000145	000145	40.1.10!1
000146	000146	40.1.10!2
000147	000147	40.1.10!3
000148	000148	40.1.10!4
000149	000149	40.1.10!5
000150	000150	40.1.10!6
000151	000151	40.1.10!7
000152	000152	40.1.10!8
000153	000153	40.1.10!9
000154	000154	40.1.10!10
000155	000155	40.1.10!11
000156	000156	40.1.10!12
000157	000157	40.1.10!13
000158	000158	40.1.10!14
000159	000159	40.1.10!15
000160	000160	40.1.11!1
000161	000161	40.1.11!2
000162	000162	40.1.11!3
000163	000163	40.1.11!4
000164	000164	40.1.11!5
000165	000165	40.1.11!6
000166	000166	40.1.11!7
000167	000167	40.1.11!8
000168	000168	40.1.11!9
000169	000169	40.1.11!10
000170	000170	40.1.11!11
000171	000171	40.1.11!12
000172	000172	40.1.11!13
000173	000173	40.1.12!1
000174	000174	40.1.12!2
000175	000175	40.1.12!3
000176	000176	40.1.12!4
000177	000177	40.1.12!5
000178	000178	40.1.12!6
000179	000179	40.1.12!7
000180	000180	40.1.12!8
000181	000181	40.1.12!9
000182	000182	40.1.12!10
000183	000183	40.1.12!11
000184	000184	40.1.12!12
000185	000185	40.1.12!13
000186	000186	40.1.12!14
000187	000187	40.1.13!1
000188	000188	40.1.13!2
000189	000189	40.1.13!3
000190	000190	40.1.13!4
000191	000191	40.1.13!5
000192	000192	40.1.13!6
000193	000193	40.1.13!7
000194	000194	40.1.13!8
