FEATURESsort1	OGNTsort	OpenTextWord_KEY
000001	000001	40.1.1.w1
000002	000002	40.1.1.w2
000003	000003	40.1.1.w3
000004	000004	40.1.1.w4
000005	000005	40.1.1.w5
000006	000006	40.1.1.w6
000007	000007	40.1.1.w7
000008	000008	40.1.1.w8
000009	000009	40.1.2.w1
000010	000010	40.1.2.w2
000011	000011	40.1.2.w3
000012	000012	40.1.2.w4
000013	000013	40.1.2.w5
000014	000014	40.1.2.w6
000015	000015	40.1.2.w7
000016	000016	40.1.2.w8
000017	000017	40.1.2.w9
000018	000018	40.1.2.w10
000019	000019	40.1.2.w11
000020	000020	40.1.2.w12
000021	000021	40.1.2.w13
000022	000022	40.1.2.w14
000023	000023	40.1.2.w15
000024	000024	40.1.2.w16
000025	000025	40.1.2.w17
000026	000026	40.1.2.w18
000027	000027	40.1.3.w1
000028	000028	40.1.3.w2
000029	000029	40.1.3.w3
000030	000030	40.1.3.w4
000031	000031	40.1.3.w5
000032	000032	40.1.3.w6
000033	000033	40.1.3.w7
000034	000034	40.1.3.w8
000035	000035	40.1.3.w9
000036	000036	40.1.3.w10
000037	000037	40.1.3.w11
000038	000038	40.1.3.w12
000039	000039	40.1.3.w13
000040	000040	40.1.3.w14
000041	000041	40.1.3.w15
000042	000042	40.1.3.w16
000043	000043	40.1.3.w17
000044	000044	40.1.3.w18
000045	000045	40.1.3.w19
000046	000046	40.1.3.w20
000047	000047	40.1.3.w21
000048	000048	40.1.4.w1
000049	000049	40.1.4.w2
000050	000050	40.1.4.w3
000051	000051	40.1.4.w4
000052	000052	40.1.4.w5
000053	000053	40.1.4.w6
000054	000054	40.1.4.w7
000055	000055	40.1.4.w8
000056	000056	40.1.4.w9
000057	000057	40.1.4.w10
000058	000058	40.1.4.w11
000059	000059	40.1.4.w12
000060	000060	40.1.4.w13
000061	000061	40.1.4.w14
000062	000062	40.1.4.w15
000063	000063	40.1.5.w1
000064	000064	40.1.5.w2
000065	000065	40.1.5.w3
000066	000066	40.1.5.w4
000067	000067	40.1.5.w5
000068	000068	40.1.5.w6
000069	000069	40.1.5.w7
000070	000070	40.1.5.w8
000071	000071	40.1.5.w9
000072	000072	40.1.5.w10
000073	000073	40.1.5.w11
000074	000074	40.1.5.w12
000075	000075	40.1.5.w13
000076	000076	40.1.5.w14
000077	000077	40.1.5.w15
000078	000078	40.1.5.w16
000079	000079	40.1.5.w17
000080	000080	40.1.5.w18
000081	000081	40.1.5.w19
000082	000082	40.1.5.w20
000083	000083	40.1.5.w21
000084	000084	40.1.6.w1
000085	000085	40.1.6.w2
000086	000086	40.1.6.w3
000087	000087	40.1.6.w4
000088	000088	40.1.6.w5
000089	000089	40.1.6.w6
000090	000090	40.1.6.w7
000091	000091	40.1.6.w8
000092	000092	40.1.6.w9
000093	000093	40.1.6.w10
000094	000094	40.1.6.w11
000095	000095	40.1.6.w12
000096	000096	40.1.6.w13
000097	000097	40.1.6.w14
000098	000098	40.1.6.w15
000099	000099	40.1.6.w16
000100	000100	40.1.7.w1
000101	000101	40.1.7.w2
000102	000102	40.1.7.w3
000103	000103	40.1.7.w4
000104	000104	40.1.7.w5
000105	000105	40.1.7.w6
000106	000106	40.1.7.w7
000107	000107	40.1.7.w8
000108	000108	40.1.7.w9
000109	000109	40.1.7.w10
000110	000110	40.1.7.w11
000111	000111	40.1.7.w12
000112	000112	40.1.7.w13
000113	000113	40.1.7.w14
000114	000114	40.1.7.w15
000115	000115	40.1.8.w1
000116	000116	40.1.8.w2
000117	000117	40.1.8.w3
000118	000118	40.1.8.w4
000119	000119	40.1.8.w5
000120	000120	40.1.8.w6
000121	000121	40.1.8.w7
000122	000122	40.1.8.w8
000123	000123	40.1.8.w9
000124	000124	40.1.8.w10
000125	000125	40.1.8.w11
000126	000126	40.1.8.w12
000127	000127	40.1.8.w13
000128	000128	40.1.8.w14
000129	000129	40.1.8.w15
000130	000130	40.1.9.w1
000131	000131	40.1.9.w2
000132	000132	40.1.9.w3
000133	000133	40.1.9.w4
000134	000134	40.1.9.w5
000135	000135	40.1.9.w6
000136	000136	40.1.9.w7
000137	000137	40.1.9.w8
000138	000138	40.1.9.w9
000139	000139	40.1.9.w10
000140	000140	40.1.9.w11
000141	000141	40.1.9.w12
000142	000142	40.1.9.w13
000143	000143	40.1.9.w14
000144	000144	40.1.9.w15
000145	000145	40.1.10.w1
000146	000146	40.1.10.w2
000147	000147	40.1.10.w3
000148	000148	40.1.10.w4
000149	000149	40.1.10.w5
000150	000150	40.1.10.w6
000151	000151	40.1.10.w7
000152	000152	40.1.10.w8
000153	000153	40.1.10.w9
000154	000154	40.1.10.w10
000155	000155	40.1.10.w11
000156	000156	40.1.10.w12
000157	000157	40.1.10.w13
000158	000158	40.1.10.w14
000159	000159	40.1.10.w15
000160	000160	40.1.11.w1
000161	000161	40.1.11.w2
000162	000162	40.1.11.w3
000163	000163	40.1.11.w4
000164	000164	40.1.11.w5
000165	000165	40.1.11.w6
000166	000166	40.1.11.w7
000167	000167	40.1.11.w8
000168	000168	40.1.11.w9
000169	000169	40.1.11.w10
000170	000170	40.1.11.w11
000171	000171	40.1.11.w12
000172	000172	40.1.11.w13
000173	000173	40.1.12.w1
000174	000174	40.1.12.w2
000175	000175	40.1.12.w3
000176	000176	40.1.12.w4
000177	000177	40.1.12.w5
000178	000178	40.1.12.w6
000179	000179	40.1.12.w7
000180	000180	40.1.12.w8
000181	000181	40.1.12.w9
000182	000182	40.1.12.w10
000183	000183	40.1.12.w11
000184	000184	40.1.12.w12
000185	000185	40.1.12.w13
000186	000186	40.1.12.w14
000187	000187	40.1.13.w1
000188	000188	40.1.13.w2
000189	000189	40.1.13.w3
000190	000190	40.1.13.w4
000191	000191	40.1.13.w5
000192	000192	40.1.13.w6
000193	000193	40.1.13.w7
000194	000194	40.1.13.w8
000195	000195	40.1.13.w9
000196	000196	40.1.13.w10
000197	000197	40.1.13.w11
000198	000198	40.1.13.w12
000199	000199	40.1.13.w13
000200	000200	40.1.13.w14
000201	000201	40.1.13.w15
000202	000202	40.1.14.w1
000203	000203	40.1.14.w2
000204	000204	40.1.14.w3
000205	000205	40.1.14.w4
000206	000206	40.1.14.w5
000207	000207	40.1.14.w6
000208	000208	40.1.14.w7
000209	000209	40.1.14.w8
000210	000210	40.1.14.w9
000211	000211	40.1.14.w10
000212	000212	40.1.14.w11
000213	000213	40.1.14.w12
000214	000214	40.1.14.w13
000215	000215	40.1.14.w14
000216	000216	40.1.14.w15
000217	000217	40.1.15.w1
000218	000218	40.1.15.w2
000219	000219	40.1.15.w3
000220	000220	40.1.15.w4
000221	000221	40.1.15.w5
000222	000222	40.1.15.w6
000223	000223	40.1.15.w7
000224	000224	40.1.15.w8
000225	000225	40.1.15.w9
000226	000226	40.1.15.w10
000227	000227	40.1.15.w11
000228	000228	40.1.15.w12
000229	000229	40.1.15.w13
000230	000230	40.1.15.w14
000231	000231	40.1.15.w15
000232	000232	40.1.16.w1
000233	000233	40.1.16.w2
000234	000234	40.1.16.w3
000235	000235	40.1.16.w4
000236	000236	40.1.16.w5
000237	000237	40.1.16.w6
000238	000238	40.1.16.w7
000239	000239	40.1.16.w8
000240	000240	40.1.16.w9
000241	000241	40.1.16.w10
000242	000242	40.1.16.w11
000243	000243	40.1.16.w12
000244	000244	40.1.16.w13
000245	000245	40.1.16.w14
000246	000246	40.1.16.w15
000247	000247	40.1.17.w1
000248	000248	40.1.17.w2
000249	000249	40.1.17.w3
000250	000250	40.1.17.w4
000251	000251	40.1.17.w5
000252	000252	40.1.17.w6
000253	000253	40.1.17.w7
000254	000254	40.1.17.w8
000255	000255	40.1.17.w9
000256	000256	40.1.17.w10
000257	000257	40.1.17.w11
000258	000258	40.1.17.w12
000259	000259	40.1.17.w13
000260	000260	40.1.17.w14
000261	000261	40.1.17.w15
000262	000262	40.1.17.w16
000263	000263	40.1.17.w17
000264	000264	40.1.17.w18
000265	000265	40.1.17.w19
000266	000266	40.1.17.w20
000267	000267	40.1.17.w21
000268	000268	40.1.17.w22
000269	000269	40.1.17.w23
000270	000270	40.1.17.w24
000271	000271	40.1.17.w25
000272	000272	40.1.17.w26
000273	000273	40.1.17.w27
000274	000274	40.1.17.w28
000275	000275	40.1.17.w29
000276	000276	40.1.18.w1
000277	000277	40.1.18.w2
000278	000278	40.1.18.w3
000279	000279	40.1.18.w4
000280	000280	40.1.18.w5
000281	000281	40.1.18.w6
000282	000282	40.1.18.w7
000283	000283	40.1.18.w8
000284	000284	40.1.18.w9
000285	000285	40.1.18.w10
000286	000286	40.1.18.w11
000287	000287	40.1.18.w12
000288	000288	40.1.18.w13
000289	000289	40.1.18.w14
000290	000290	40.1.18.w15
000291	000291	40.1.18.w16
000292	000292	40.1.18.w17
000293	000293	40.1.18.w18
000294	000294	40.1.18.w19
000295	000295	40.1.18.w20
000296	000296	40.1.18.w21
000297	000297	40.1.18.w22
000298	000298	40.1.18.w23
000299	000299	40.1.18.w24
000300	000300	40.1.18.w25
000301	000301	40.1.18.w26
000302	000302	40.1.19.w1
000303	000303	40.1.19.w2
000304	000304	40.1.19.w3
000305	000305	40.1.19.w4
000306	000306	40.1.19.w5
000307	000307	40.1.19.w6
000308	000308	40.1.19.w7
000309	000309	40.1.19.w8
000310	000310	40.1.19.w9
000311	000311	40.1.19.w10
000312	000312	40.1.19.w11
000313	000313	40.1.19.w12
000314	000314	40.1.19.w13
000315	000315	40.1.19.w14
000316	000316	40.1.19.w15
000317	000317	40.1.19.w16
000318	000318	40.1.20.w1
000319	000319	40.1.20.w2
000320	000320	40.1.20.w3
000321	000321	40.1.20.w4
000322	000322	40.1.20.w5
000323	000323	40.1.20.w6
000324	000324	40.1.20.w7
000325	000325	40.1.20.w8
000326	000326	40.1.20.w9
000327	000327	40.1.20.w10
000328	000328	40.1.20.w11
000329	000329	40.1.20.w12
000330	000330	40.1.20.w13
000331	000331	40.1.20.w14
000332	000332	40.1.20.w15
000333	000333	40.1.20.w16
000334	000334	40.1.20.w17
000335	000335	40.1.20.w18
000336	000336	40.1.20.w19
000337	000337	40.1.20.w20
000338	000338	40.1.20.w21
000339	000339	40.1.20.w22
000340	000340	40.1.20.w23
000341	000341	40.1.20.w24
000342	000342	40.1.20.w25
000343	000343	40.1.20.w26
000344	000344	40.1.20.w27
000345	000345	40.1.20.w28
000346	000346	40.1.20.w29
000347	000347	40.1.20.w30
000348	000348	40.1.20.w31
000349	000349	40.1.21.w1
000350	000350	40.1.21.w2
000351	000351	40.1.21.w3
000352	000352	40.1.21.w4
000353	000353	40.1.21.w5
000354	000354	40.1.21.w6
000355	000355	40.1.21.w7
000356	000356	40.1.21.w8
000357	000357	40.1.21.w9
000358	000358	40.1.21.w10
000359	000359	40.1.21.w11
